Rank,PublicScore,PrivateScore
1,0.92964,0.9236
2,0.92787,0.92272
3,0.92726,0.92255
4,0.92678,0.92189
5,0.92661,0.92153
6,0.92604,0.92106
7,0.9259,0.92104
8,0.92579,0.92012
9,0.92545,0.91961
10,0.92382,0.91942
11,0.92296,0.91941
12,0.92289,0.91888
13,0.92282,0.91881
14,0.92268,0.91777
15,0.92216,0.91726
16,0.92164,0.9172
17,0.92158,0.91701
18,0.92147,0.91672
19,0.92128,0.91611
20,0.92059,0.9158
21,0.92043,0.91568
22,0.92031,0.91562
23,0.92031,0.91553
24,0.92021,0.91548
25,0.92008,0.91537
26,0.91994,0.91532
27,0.91993,0.91532
28,0.91991,0.91522
29,0.91978,0.91508
30,0.91978,0.91502
31,0.91934,0.91489
32,0.91927,0.91439
33,0.91917,0.91434
34,0.91909,0.91433
35,0.91884,0.91428
36,0.91879,0.91426
37,0.9187,0.91414
38,0.91865,0.91392
39,0.91862,0.91384
40,0.91822,0.91377
41,0.918,0.91374
42,0.91788,0.91367
43,0.91756,0.91346
44,0.91744,0.91338
45,0.91733,0.91335
46,0.91728,0.91334
47,0.91728,0.91333
48,0.91716,0.91323
49,0.91713,0.91318
50,0.91709,0.91312
51,0.91707,0.91311
52,0.91692,0.91311
53,0.91685,0.9131
54,0.91679,0.9129
55,0.91665,0.91274
56,0.9166,0.91265
57,0.91643,0.91259
58,0.91636,0.91258
59,0.91631,0.91254
60,0.91617,0.91226
61,0.91615,0.91207
62,0.91612,0.91202
63,0.91606,0.91177
64,0.91575,0.91155
65,0.91566,0.91146
66,0.91528,0.91145
67,0.91526,0.9112
68,0.91517,0.91118
69,0.91517,0.91108
70,0.9149,0.91106
71,0.91483,0.91102
72,0.91448,0.91055
73,0.91447,0.91031
74,0.91439,0.91002
75,0.91409,0.90972
76,0.914,0.90958
77,0.91364,0.90952
78,0.91349,0.90949
79,0.9132,0.90934
80,0.9129,0.90852
81,0.91276,0.90848
82,0.91265,0.90847
83,0.91243,0.90694
84,0.91227,0.90684
85,0.91221,0.90679
86,0.91214,0.90676
87,0.9121,0.90651
88,0.91206,0.90651
89,0.91205,0.90649
90,0.912,0.90647
91,0.91195,0.90625
92,0.91189,0.9059
93,0.91178,0.90554
94,0.91164,0.90537
95,0.91152,0.90537
96,0.91142,0.90531
97,0.91142,0.90496
98,0.91129,0.90495
99,0.91118,0.90486
100,0.91105,0.90464
101,0.91086,0.90462
102,0.91086,0.90439
103,0.91084,0.90424
104,0.9108,0.90422
105,0.91076,0.9042
106,0.91074,0.90388
107,0.91064,0.9038
108,0.91053,0.9038
109,0.91029,0.90378
110,0.91022,0.90377
111,0.91013,0.90362
112,0.90997,0.90356
113,0.90985,0.90354
114,0.90984,0.90329
115,0.90976,0.90313
116,0.90969,0.90294
117,0.90956,0.90294
118,0.9095,0.90285
119,0.90945,0.90281
120,0.90942,0.9028
121,0.90941,0.90279
122,0.90936,0.90273
123,0.90932,0.90268
124,0.90924,0.9025
125,0.90924,0.90249
126,0.90918,0.90248
127,0.90913,0.90207
128,0.90911,0.90206
129,0.90897,0.90204
130,0.90889,0.90198
131,0.90887,0.90192
132,0.90868,0.90182
133,0.9086,0.90176
134,0.90857,0.90171
135,0.90854,0.90171
136,0.90853,0.9017
137,0.90852,0.90156
138,0.90847,0.90155
139,0.90846,0.90142
140,0.90836,0.90125
141,0.90835,0.90117
142,0.90831,0.90116
143,0.90825,0.90116
144,0.90809,0.901
145,0.90807,0.90095
146,0.90803,0.90094
147,0.90801,0.90069
148,0.90801,0.90069
149,0.908,0.90066
150,0.90799,0.90064
151,0.90799,0.90064
152,0.90799,0.90051
153,0.90798,0.9005
154,0.90797,0.90049
155,0.90797,0.9004
156,0.90794,0.90035
157,0.90793,0.90034
158,0.90793,0.90033
159,0.90792,0.90032
160,0.90791,0.90026
161,0.9079,0.90021
162,0.90782,0.90019
163,0.90777,0.90014
164,0.90771,0.90013
165,0.9077,0.9001
166,0.9076,0.90007
167,0.90759,0.90005
168,0.90758,0.90005
169,0.90757,0.90002
170,0.90755,0.89999
171,0.90754,0.89998
172,0.9075,0.89997
173,0.90749,0.89996
174,0.90749,0.89996
175,0.90745,0.89996
176,0.90741,0.89992
177,0.90736,0.8999
178,0.90735,0.8999
179,0.90733,0.89989
180,0.90725,0.89989
181,0.90724,0.89988
182,0.90723,0.89986
183,0.90723,0.89986
184,0.90718,0.89981
185,0.90716,0.89978
186,0.90715,0.89977
187,0.90715,0.89977
188,0.90712,0.89975
189,0.90712,0.89973
190,0.90707,0.89972
191,0.907,0.89971
192,0.907,0.8997
193,0.907,0.89968
194,0.90696,0.89967
195,0.90693,0.89964
196,0.90692,0.89964
197,0.90691,0.89962
198,0.90684,0.8996
199,0.90683,0.8996
200,0.90683,0.89957
201,0.90683,0.89957
202,0.90674,0.89957
203,0.90673,0.89956
204,0.9067,0.89955
205,0.90669,0.89955
206,0.90669,0.89954
207,0.90668,0.89954
208,0.90664,0.89954
209,0.90655,0.89954
210,0.90653,0.89954
211,0.90651,0.89952
