Rank,PublicScore,PrivateScore
1,0.42233,0.42037
2,0.42325,0.42079
3,0.42402,0.42182
4,0.42408,0.42259
5,0.42627,0.4245
6,0.42684,0.42535
7,0.4269,0.42557
8,0.42811,0.42688
9,0.42997,0.42744
10,0.43132,0.43
11,0.43151,0.43006
12,0.43184,0.43089
13,0.43229,0.43107
14,0.43343,0.43146
15,0.43369,0.43168
16,0.43399,0.43262
17,0.43417,0.43313
18,0.43424,0.43317
19,0.4344,0.43318
20,0.43453,0.43323
21,0.4348,0.43373
22,0.43506,0.43404
23,0.43607,0.43432
24,0.43626,0.43471
25,0.43655,0.43546
26,0.43667,0.43546
27,0.43689,0.43549
28,0.43691,0.43567
29,0.43707,0.43578
30,0.43712,0.43583
31,0.43713,0.43594
32,0.43722,0.43601
33,0.43736,0.43606
34,0.43753,0.43608
35,0.43796,0.4363
36,0.43797,0.43633
37,0.4381,0.43649
38,0.4387,0.43682
39,0.43956,0.43757
40,0.43961,0.43778
41,0.43995,0.43923
42,0.44046,0.4393
43,0.44093,0.43937
44,0.44094,0.4397
45,0.44127,0.43972
46,0.44128,0.4399
47,0.44129,0.44011
48,0.44129,0.44011
49,0.44142,0.44039
50,0.44155,0.44045
51,0.44169,0.44071
52,0.44198,0.44073
53,0.44215,0.44073
54,0.44233,0.44074
55,0.44238,0.44086
56,0.44253,0.44087
57,0.44254,0.44088
58,0.44277,0.4411
59,0.44281,0.44136
60,0.44283,0.44146
61,0.44296,0.4415
62,0.443,0.44152
63,0.44303,0.44173
64,0.44338,0.44194
65,0.44348,0.44206
66,0.44362,0.44209
67,0.44363,0.44225
68,0.44367,0.44227
69,0.44368,0.44227
70,0.44372,0.44256
71,0.44379,0.44259
72,0.44381,0.44261
73,0.44396,0.44264
74,0.44399,0.44265
75,0.44406,0.44265
76,0.4441,0.44276
77,0.44417,0.44282
78,0.44422,0.44284
79,0.4443,0.44288
80,0.44437,0.44289
81,0.44438,0.44316
82,0.44439,0.44319
83,0.44441,0.44334
84,0.44441,0.44341
85,0.44463,0.44342
86,0.44488,0.44345
87,0.44492,0.44352
88,0.445,0.44355
89,0.44505,0.44369
90,0.44519,0.44371
91,0.44522,0.44393
92,0.44525,0.44399
93,0.44525,0.44399
94,0.44528,0.44407
95,0.44529,0.44414
96,0.4454,0.44418
97,0.44541,0.44434
98,0.44545,0.44435
99,0.44548,0.44437
100,0.44555,0.44442
101,0.44558,0.44445
102,0.44559,0.44462
103,0.44562,0.44467
104,0.44567,0.44467
105,0.4457,0.44469
106,0.44587,0.44471
107,0.44588,0.44475
108,0.44592,0.44478
109,0.446,0.44481
110,0.44614,0.4449
111,0.44619,0.44493
112,0.44619,0.44497
113,0.44623,0.44498
114,0.44627,0.445
115,0.44632,0.44511
116,0.44637,0.44514
117,0.44648,0.44515
118,0.44659,0.44521
119,0.44662,0.44527
120,0.44664,0.4453
121,0.44665,0.44535
122,0.44665,0.44536
123,0.44665,0.44537
124,0.4467,0.44539
125,0.44674,0.44551
126,0.44676,0.44553
127,0.44691,0.44554
128,0.44694,0.44556
129,0.44694,0.44571
130,0.44695,0.44573
131,0.44709,0.44575
132,0.44713,0.44575
133,0.44716,0.44578
134,0.44718,0.44579
135,0.44724,0.44589
136,0.44725,0.44607
137,0.4473,0.44607
138,0.44731,0.44609
139,0.44734,0.44609
140,0.44738,0.44612
141,0.4474,0.44613
142,0.44742,0.44617
143,0.44745,0.44619
144,0.44746,0.44621
145,0.44746,0.44624
146,0.44748,0.44625
147,0.44763,0.44626
148,0.44767,0.44631
149,0.44769,0.44634
150,0.44769,0.44637
151,0.44769,0.44638
