Rank,PublicScore,PrivateScore
1,3.85059,3.80581
2,3.85058,3.78912
3,3.84427,3.78682
4,3.80654,3.77526
5,3.80074,3.77383
6,3.79126,3.77086
7,3.78725,3.76211
8,3.78533,3.7605
9,3.78161,3.75863
10,3.77818,3.75837
11,3.77633,3.75657
12,3.77564,3.75383
13,3.77413,3.75273
14,3.7681,3.7496
15,3.76768,3.74603
16,3.76659,3.74474
17,3.76559,3.74339
18,3.76445,3.74306
19,3.75944,3.74263
20,3.75818,3.73932
21,3.75754,3.73902
22,3.75606,3.73742
23,3.75511,3.73562
24,3.7546,3.7346
25,3.75443,3.73457
26,3.75358,3.73194
27,3.75302,3.72982
28,3.74607,3.72921
29,3.74568,3.72728
30,3.74361,3.72654
31,3.74342,3.72593
32,3.74056,3.72491
33,3.73978,3.72402
34,3.73886,3.72235
35,3.73707,3.72224
36,3.73608,3.72204
37,3.7348,3.7218
38,3.73465,3.72153
39,3.73211,3.72118
40,3.73045,3.72103
41,3.7301,3.72103
42,3.72815,3.72094
43,3.72749,3.72076
44,3.72685,3.72038
45,3.72654,3.71884
46,3.72623,3.71884
47,3.72502,3.71873
48,3.72501,3.71787
49,3.7244,3.71787
50,3.72435,3.71767
51,3.72369,3.71762
52,3.72142,3.71747
53,3.71974,3.7171
54,3.71971,3.71643
55,3.71953,3.71642
56,3.71933,3.71591
57,3.71881,3.71577
58,3.71831,3.71571
59,3.71671,3.71566
60,3.71639,3.71434
61,3.71522,3.71426
62,3.71344,3.71407
63,3.71285,3.71307
64,3.71198,3.71285
65,3.71179,3.71211
66,3.71172,3.71205
67,3.71059,3.71179
68,3.71044,3.71171
69,3.71037,3.71147
70,3.71022,3.71141
71,3.70876,3.71128
72,3.70775,3.71083
73,3.7052,3.71071
74,3.70497,3.7107
75,3.70235,3.71041
76,3.70198,3.70992
77,3.70176,3.70887
78,3.70155,3.70852
79,3.70134,3.70713
80,3.70134,3.707
81,3.69939,3.70662
82,3.69908,3.70508
83,3.69727,3.70502
84,3.69702,3.70415
85,3.69591,3.70408
86,3.69561,3.70344
87,3.6952,3.70295
88,3.69501,3.70218
89,3.6949,3.70185
90,3.69424,3.70122
91,3.6936,3.70108
92,3.69333,3.7007
93,3.69298,3.7005
94,3.69271,3.69975
95,3.69251,3.69971
96,3.69238,3.6995
97,3.69226,3.69931
98,3.6911,3.69929
99,3.69107,3.69782
100,3.69107,3.69754
101,3.69062,3.69685
102,3.69049,3.69658
103,3.68874,3.69638
104,3.68864,3.69624
105,3.68781,3.69611
106,3.68779,3.69602
107,3.68767,3.69578
108,3.68739,3.69574
109,3.68705,3.69518
110,3.68651,3.69507
111,3.68625,3.69499
112,3.68613,3.69479
113,3.68585,3.69461
114,3.68557,3.69451
115,3.68524,3.6942
116,3.68506,3.69398
117,3.68467,3.69378
118,3.68412,3.69361
119,3.68377,3.69174
120,3.6835,3.6915
121,3.68327,3.69086
122,3.68263,3.69079
123,3.6825,3.68979
124,3.6821,3.68969
125,3.68151,3.6892
126,3.68073,3.68845
127,3.68007,3.68772
128,3.68004,3.68759
129,3.67966,3.68721
130,3.67905,3.687
131,3.67888,3.68689
132,3.67829,3.68667
133,3.67813,3.68636
134,3.6774,3.6863
135,3.67694,3.68586
136,3.67691,3.68583
137,3.67669,3.68562
138,3.67554,3.68473
139,3.67485,3.68468
140,3.67469,3.68447
141,3.67389,3.68424
142,3.67385,3.68328
143,3.67359,3.68328
144,3.67338,3.68256
145,3.67324,3.68244
146,3.67316,3.68222
147,3.67306,3.6822
148,3.67273,3.68194
149,3.67145,3.68139
150,3.67089,3.68127
151,3.6701,3.68121
152,3.66779,3.68061
153,3.66773,3.68061
154,3.66771,3.68061
155,3.6675,3.68022
156,3.66748,3.67965
157,3.6674,3.67957
158,3.66575,3.67913
159,3.66553,3.67875
160,3.66539,3.67862
161,3.66538,3.67859
162,3.66537,3.67858
163,3.66514,3.67856
164,3.66426,3.6784
165,3.66425,3.67836
166,3.66407,3.67793
167,3.66406,3.67776
168,3.66389,3.67719
169,3.66379,3.67714
170,3.66376,3.6765
171,3.66326,3.67622
172,3.66245,3.67568
173,3.66121,3.67468
174,3.6606,3.67452
175,3.66055,3.67448
176,3.66045,3.67442
177,3.65976,3.67442
178,3.65971,3.67442
179,3.6592,3.67442
180,3.65872,3.67442
181,3.65864,3.67418
182,3.65823,3.67388
183,3.65758,3.67363
184,3.6575,3.67331
185,3.6571,3.67276
186,3.65709,3.67254
187,3.65702,3.6723
188,3.65689,3.67218
189,3.65543,3.67186
190,3.65534,3.67109
191,3.65515,3.67089
192,3.65492,3.67055
193,3.65462,3.67052
194,3.65431,3.67034
195,3.65416,3.67032
196,3.65382,3.6701
197,3.65353,3.67005
198,3.6535,3.66994
199,3.65333,3.66994
200,3.65244,3.66965
201,3.65228,3.66945
202,3.65213,3.66931
203,3.65205,3.6693
204,3.65128,3.6693
205,3.65128,3.66921
206,3.65123,3.6691
207,3.6511,3.66909
208,3.65078,3.66893
209,3.65037,3.66883
210,3.64987,3.66883
211,3.64945,3.66872
212,3.64936,3.6683
213,3.64914,3.66815
214,3.64914,3.66765
215,3.64905,3.66754
216,3.64898,3.66724
217,3.64886,3.66721
218,3.6486,3.66714
219,3.64844,3.66662
220,3.64814,3.66658
221,3.6478,3.66643
222,3.64698,3.66636
223,3.64672,3.6663
224,3.64655,3.6663
225,3.64645,3.6663
226,3.64609,3.6663
227,3.64589,3.6663
228,3.64569,3.6663
229,3.64566,3.6663
230,3.64526,3.6663
231,3.64515,3.66587
232,3.64383,3.66587
233,3.64336,3.66576
234,3.64331,3.66571
235,3.6433,3.66571
236,3.64257,3.66571
237,3.64225,3.66571
238,3.6422,3.66571
239,3.64082,3.6655
240,3.64062,3.66528
241,3.6406,3.66513
242,3.64056,3.66473
243,3.64042,3.66465
244,3.64017,3.66459
245,3.64002,3.66424
246,3.63973,3.66419
247,3.63962,3.664
248,3.63918,3.66398
249,3.63912,3.66366
250,3.63909,3.66339
251,3.63909,3.66338
252,3.63909,3.66332
253,3.63849,3.66292
254,3.63834,3.66222
255,3.63818,3.66179
256,3.63814,3.66172
257,3.63788,3.66171
258,3.63741,3.66145
259,3.63721,3.66099
260,3.63567,3.66087
261,3.63479,3.66079
262,3.63474,3.66065
263,3.6347,3.66057
264,3.63427,3.66057
265,3.63388,3.66026
266,3.63376,3.66001
267,3.63368,3.65968
268,3.63335,3.65943
269,3.63272,3.65928
270,3.6327,3.65906
271,3.63237,3.659
272,3.63199,3.659
273,3.63193,3.65883
274,3.63187,3.65862
275,3.63185,3.6585
276,3.63183,3.65837
277,3.63168,3.65837
278,3.63017,3.65837
279,3.62955,3.65775
280,3.62911,3.65751
281,3.62837,3.65741
282,3.62824,3.65741
283,3.62795,3.65739
284,3.62755,3.65729
285,3.6275,3.65703
286,3.62742,3.65693
287,3.62738,3.65658
288,3.62689,3.65647
289,3.62683,3.65643
290,3.62618,3.65633
291,3.62585,3.65621
292,3.62584,3.65613
293,3.62569,3.65568
294,3.62564,3.65544
295,3.62563,3.65527
296,3.62512,3.65523
297,3.62496,3.65523
298,3.62472,3.65523
299,3.62469,3.6552
300,3.62433,3.65512
301,3.62429,3.65503
302,3.62429,3.65494
303,3.62429,3.65481
304,3.62409,3.65402
305,3.62352,3.65335
306,3.62321,3.65325
307,3.62276,3.65319
308,3.62273,3.65319
309,3.62182,3.65319
310,3.62127,3.65314
311,3.62101,3.65312
312,3.62079,3.65297
313,3.62059,3.65242
314,3.62037,3.65232
315,3.62025,3.65217
316,3.62009,3.65215
317,3.62006,3.65215
318,3.62005,3.65162
319,3.61988,3.65161
320,3.61955,3.6515
321,3.61874,3.6513
322,3.61863,3.65084
323,3.61863,3.65071
324,3.61857,3.65052
325,3.61842,3.65033
326,3.61815,3.64946
327,3.61784,3.64944
328,3.61725,3.64936
329,3.61725,3.64916
330,3.61722,3.64889
331,3.6169,3.64888
332,3.6169,3.64884
333,3.61686,3.64879
334,3.61618,3.64856
335,3.61559,3.64837
336,3.61493,3.64817
337,3.61493,3.64813
338,3.61493,3.6476
339,3.61429,3.6473
340,3.6138,3.64729
341,3.61367,3.64727
342,3.61364,3.64722
343,3.61348,3.64713
344,3.613,3.64712
345,3.61296,3.64701
346,3.61279,3.64694
347,3.61261,3.64682
348,3.61244,3.64663
349,3.61234,3.64659
350,3.61215,3.64654
351,3.61208,3.64654
352,3.61195,3.64654
353,3.61167,3.64654
354,3.61166,3.64654
355,3.61121,3.64654
356,3.61121,3.64654
357,3.61087,3.64654
358,3.61034,3.64654
359,3.61006,3.64654
360,3.61002,3.64654
361,3.60992,3.64654
362,3.60986,3.64654
363,3.60982,3.64654
364,3.60952,3.64654
365,3.60941,3.64654
366,3.60941,3.64654
367,3.60941,3.64654
368,3.60941,3.64654
369,3.60941,3.64654
370,3.60941,3.64654
371,3.60941,3.64654
372,3.60905,3.64654
373,3.60905,3.64654
374,3.60905,3.64654
375,3.60905,3.64654
376,3.60905,3.64654
377,3.60905,3.64654
378,3.60905,3.64654
379,3.60905,3.64654
380,3.60903,3.64654
381,3.60881,3.64654
382,3.60877,3.64654
383,3.60877,3.64654
384,3.60877,3.64654
385,3.60877,3.64654
386,3.60877,3.64654
387,3.60877,3.64654
388,3.60877,3.64654
389,3.60877,3.64654
390,3.60877,3.64654
391,3.60877,3.64654
392,3.60877,3.64654
393,3.60877,3.64654
394,3.60877,3.64654
395,3.60877,3.64654
396,3.60877,3.64654
397,3.60877,3.64654
398,3.60877,3.64654
399,3.60877,3.64654
400,3.60877,3.64654
401,3.60877,3.64654
402,3.60877,3.64654
403,3.60877,3.64654
404,3.60877,3.64654
405,3.60861,3.64654
406,3.6083,3.64654
407,3.60784,3.64654
408,3.60758,3.64654
409,3.60706,3.64654
410,3.60688,3.64654
411,3.60665,3.64654
412,3.60627,3.64654
413,3.60622,3.64654
414,3.60592,3.64654
415,3.6059,3.64654
416,3.60588,3.64654
417,3.60588,3.64654
418,3.60567,3.64654
419,3.60565,3.64654
420,3.60552,3.64654
421,3.60545,3.64654
422,3.60545,3.64654
423,3.60545,3.64654
424,3.60545,3.64654
425,3.60545,3.64654
426,3.60545,3.64654
427,3.60545,3.64654
428,3.60544,3.64654
429,3.60535,3.64654
430,3.60512,3.64654
431,3.60482,3.64654
432,3.60464,3.64654
433,3.60401,3.64654
434,3.60389,3.64654
435,3.60388,3.64654
436,3.60346,3.64654
437,3.6033,3.64654
438,3.60321,3.64654
439,3.6031,3.64654
440,3.6031,3.64654
441,3.60309,3.64654
442,3.60247,3.64654
443,3.60214,3.64654
444,3.60177,3.64636
445,3.60138,3.64619
446,3.60138,3.64619
447,3.60138,3.64619
448,3.60138,3.64614
449,3.60131,3.64604
450,3.60106,3.64588
451,3.60076,3.64583
452,3.60076,3.64581
453,3.60076,3.64554
454,3.60076,3.64547
455,3.60071,3.64541
456,3.60039,3.64524
457,3.60031,3.64516
458,3.60031,3.64507
459,3.60031,3.64494
460,3.60008,3.6449
461,3.60002,3.64474
462,3.60002,3.64431
463,3.60002,3.64402
464,3.60002,3.64391
465,3.60002,3.64379
466,3.60002,3.64298
467,3.60002,3.64277
468,3.60002,3.64255
469,3.60002,3.6423
470,3.60002,3.64183
471,3.60002,3.64085
472,3.60002,3.64083
473,3.60002,3.64081
474,3.60002,3.6405
475,3.60002,3.64044
476,3.60002,3.64037
477,3.60002,3.64007
478,3.60002,3.63997
479,3.60002,3.63955
480,3.60002,3.63912
481,3.60002,3.63872
482,3.60002,3.63868
483,3.60002,3.63868
484,3.60002,3.63868
485,3.60002,3.63868
486,3.60002,3.63866
487,3.60002,3.63843
488,3.60002,3.63814
489,3.60002,3.63801
490,3.60002,3.63798
491,3.60002,3.63777
492,3.60002,3.6377
493,3.60002,3.63739
494,3.60002,3.63717
495,3.60002,3.63688
496,3.60002,3.63669
497,3.60002,3.63647
498,3.60002,3.63647
499,3.60002,3.63647
500,3.60002,3.63647
501,3.60002,3.63647
502,3.60002,3.63432
503,3.60002,3.63284
504,3.60002,3.6321
505,3.60002,3.63184
506,3.60002,3.6312
507,3.60002,3.63083
508,3.60002,3.63065
509,3.60002,3.63051
510,3.60002,3.62977
511,3.60002,3.62973
512,3.60002,3.62965
513,3.60002,3.62932
514,3.60002,3.62929
515,3.60002,3.62893
516,3.60002,3.6282
517,3.60002,3.62807
518,3.60002,3.62797
519,3.60002,3.62788
520,3.60002,3.62679
521,3.60002,3.62673
522,3.60002,3.62642
523,3.60002,3.62631
524,3.60002,3.62513
525,3.60002,3.62483
526,3.60002,3.62471
527,3.60002,3.62426
528,3.60002,3.62397
529,3.60002,3.62369
530,3.60002,3.62123
531,3.60002,3.62067
532,3.60002,3.62053
533,3.60002,3.62015
534,3.60002,3.62013
535,3.60002,3.61958
536,3.60002,3.61887
537,3.60002,3.61874
538,3.60002,3.61868
539,3.60002,3.61793
540,3.60002,3.61755
541,3.60002,3.61727
542,3.60002,3.6172
543,3.60002,3.61716
544,3.60002,3.61672
545,3.60002,3.61611
546,3.60002,3.61596
547,3.60002,3.61575
548,3.60002,3.61567
549,3.60002,3.61518
550,3.60002,3.61334
551,3.60002,3.61119
552,3.60002,3.61115
553,3.60002,3.61035
554,3.60002,3.61035
555,3.60002,3.61002
556,3.60002,3.60993
557,3.60002,3.60988
558,3.60002,3.60983
559,3.60002,3.60983
560,3.60002,3.60972
561,3.60002,3.60931
562,3.60002,3.60931
563,3.60002,3.60872
564,3.60002,3.60828
565,3.59877,3.60687
566,3.59875,3.60678
567,3.59852,3.6066
568,3.59841,3.60597
569,3.59709,3.60464
570,3.59707,3.6044
571,3.59659,3.60383
572,3.59659,3.60355
573,3.59659,3.60211
574,3.59659,3.60116
575,3.59659,3.60116
576,3.59659,3.60101
577,3.59617,3.60028
578,3.5958,3.59976
579,3.59532,3.59971
580,3.59496,3.5991
581,3.59333,3.59883
582,3.59313,3.59883
583,3.5931,3.59795
584,3.59307,3.59684
585,3.59287,3.59617
586,3.59225,3.59562
587,3.59189,3.59552
588,3.59041,3.59521
589,3.59041,3.59491
590,3.58997,3.59485
591,3.58841,3.5939
592,3.58777,3.59377
593,3.58763,3.59301
594,3.58749,3.59281
595,3.58702,3.59243
596,3.58601,3.59209
597,3.58588,3.5916
598,3.58531,3.59155
599,3.58441,3.5915
600,3.58434,3.59137
601,3.58431,3.59133
602,3.5841,3.59117
603,3.5829,3.59059
604,3.58286,3.59057
605,3.58255,3.59057
606,3.5821,3.58987
607,3.58045,3.58915
608,3.57888,3.58897
609,3.57821,3.58876
610,3.57781,3.58863
611,3.57575,3.58856
612,3.57533,3.58847
