Rank,PublicScore,PrivateScore
1,0.97065,0.97024
2,0.97059,0.97018
3,0.97037,0.97001
4,0.97021,0.96988
5,0.97017,0.96983
6,0.97016,0.96968
7,0.9701,0.96961
8,0.97007,0.9696
9,0.97006,0.96959
10,0.96989,0.96956
11,0.96985,0.96932
12,0.96981,0.9693
13,0.9698,0.9693
14,0.9693,0.96882
15,0.96917,0.9688
16,0.96916,0.96873
17,0.96909,0.96864
18,0.96905,0.96864
19,0.96904,0.96863
20,0.96896,0.96856
21,0.96896,0.96854
22,0.96893,0.96853
23,0.96893,0.9685
24,0.96889,0.96848
25,0.96889,0.96843
26,0.96888,0.96843
27,0.96887,0.96843
28,0.96887,0.96842
29,0.96886,0.9684
30,0.96885,0.96839
31,0.96883,0.96838
32,0.96881,0.96836
33,0.9688,0.96836
34,0.9688,0.96834
35,0.9688,0.96833
36,0.96879,0.96832
37,0.96878,0.96827
38,0.96876,0.96827
39,0.96875,0.96827
40,0.96874,0.96826
41,0.96874,0.96824
42,0.96874,0.96823
43,0.96874,0.96821
44,0.96874,0.96821
45,0.96873,0.96821
46,0.96873,0.9682
47,0.96872,0.96817
48,0.96871,0.96817
49,0.96871,0.96817
50,0.96869,0.96815
51,0.96868,0.96814
52,0.96868,0.96813
53,0.96867,0.96812
54,0.96866,0.96811
55,0.96865,0.96811
56,0.96865,0.9681
57,0.96864,0.9681
58,0.96863,0.96809
59,0.96863,0.96809
60,0.96863,0.96808
61,0.96862,0.96808
62,0.96862,0.96807
63,0.96862,0.96807
64,0.96861,0.96807
65,0.9686,0.96806
66,0.9686,0.96805
67,0.96859,0.96805
68,0.96859,0.96805
69,0.96859,0.96805
70,0.96859,0.96805
71,0.96859,0.96804
72,0.96858,0.96803
73,0.96858,0.96803
74,0.96858,0.96802
75,0.96856,0.96802
76,0.96856,0.96802
77,0.96856,0.96802
78,0.96856,0.96801
79,0.96855,0.968
80,0.96855,0.968
81,0.96854,0.968
82,0.96854,0.96799
83,0.96853,0.96799
84,0.96852,0.96798
85,0.96852,0.96798
86,0.96852,0.96798
87,0.96851,0.96797
88,0.96851,0.96796
89,0.96851,0.96796
90,0.96851,0.96796
91,0.9685,0.96796
92,0.96849,0.96795
93,0.96849,0.96795
94,0.96849,0.96795
95,0.96849,0.96795
96,0.96848,0.96794
97,0.96848,0.96794
98,0.96848,0.96793
99,0.96848,0.96793
100,0.96847,0.96793
101,0.96847,0.96792
102,0.96847,0.96792
103,0.96846,0.96792
104,0.96846,0.96792
105,0.96846,0.96791
106,0.96846,0.96791
107,0.96845,0.96791
108,0.96845,0.96791
109,0.96845,0.96791
110,0.96845,0.9679
111,0.96845,0.9679
112,0.96844,0.96789
113,0.96844,0.96789
114,0.96844,0.96789
115,0.96844,0.96789
116,0.96844,0.96789
117,0.96843,0.96788
118,0.96843,0.96788
119,0.96843,0.96788
120,0.96843,0.96787
121,0.96842,0.96787
122,0.96842,0.96787
123,0.96842,0.96787
124,0.96842,0.96787
125,0.96842,0.96787
126,0.96841,0.96787
127,0.96841,0.96787
128,0.96841,0.96786
129,0.96841,0.96786
130,0.96841,0.96786
131,0.96841,0.96786
132,0.9684,0.96786
133,0.9684,0.96786
134,0.9684,0.96785
135,0.9684,0.96785
136,0.9684,0.96785
137,0.96839,0.96785
138,0.96839,0.96785
139,0.96839,0.96784
140,0.96839,0.96784
141,0.96839,0.96784
142,0.96838,0.96784
143,0.96838,0.96784
144,0.96838,0.96784
145,0.96837,0.96783
146,0.96837,0.96782
147,0.96837,0.96782
148,0.96837,0.96782
149,0.96837,0.96782
150,0.96837,0.96782
151,0.96837,0.96782
152,0.96837,0.96782
153,0.96837,0.96782
154,0.96836,0.96781
155,0.96836,0.96781
156,0.96836,0.96781
157,0.96836,0.9678
158,0.96836,0.9678
159,0.96836,0.9678
160,0.96835,0.9678
161,0.96835,0.9678
162,0.96835,0.9678
163,0.96835,0.9678
164,0.96835,0.96779
