Rank,PublicScore,PrivateScore
1,0.968137,0.945884
2,0.967722,0.94421
3,0.967637,0.943769
4,0.967226,0.94258
5,0.966308,0.942453
6,0.966013,0.942391
7,0.96591,0.942314
8,0.965764,0.942268
9,0.965742,0.942129
10,0.965131,0.94175
11,0.965091,0.941638
12,0.965049,0.941413
13,0.964964,0.941338
14,0.964736,0.941153
15,0.964661,0.941096
16,0.964657,0.941011
17,0.964593,0.940934
18,0.964564,0.940756
19,0.96454,0.94073
20,0.96449,0.940526
21,0.964467,0.94025
22,0.964427,0.940076
23,0.964387,0.93977
24,0.964063,0.939678
25,0.963848,0.939546
26,0.963676,0.93934
27,0.963633,0.939319
28,0.9635,0.939299
29,0.96344,0.939196
30,0.963414,0.939147
31,0.963331,0.939115
32,0.963304,0.938158
33,0.963138,0.937957
34,0.963078,0.937732
35,0.962653,0.937395
36,0.962404,0.937314
37,0.961878,0.937208
38,0.961443,0.937016
39,0.96139,0.936983
40,0.961266,0.936576
41,0.961236,0.936384
42,0.961176,0.936302
43,0.961152,0.936062
44,0.960948,0.936035
45,0.960838,0.935799
46,0.96079,0.935744
47,0.960768,0.935527
48,0.960766,0.935419
49,0.960358,0.935365
50,0.96031,0.935271
51,0.96028,0.935133
52,0.960206,0.934923
53,0.960022,0.934848
54,0.959357,0.934786
55,0.959259,0.934525
56,0.959173,0.934504
57,0.95913,0.934321
58,0.959096,0.934
59,0.958854,0.933741
60,0.958796,0.933526
61,0.95877,0.933501
62,0.958724,0.933501
63,0.958663,0.933438
64,0.958579,0.933436
65,0.957904,0.93311
66,0.957904,0.933108
67,0.957853,0.932894
68,0.957821,0.932881
69,0.957791,0.932864
70,0.957724,0.932547
71,0.95755,0.9324
72,0.957549,0.932398
73,0.957539,0.932143
74,0.957526,0.93214
75,0.957461,0.932069
76,0.957348,0.931944
77,0.957249,0.931688
78,0.956814,0.931654
79,0.956795,0.931421
80,0.956709,0.931127
81,0.95667,0.931113
82,0.956498,0.931076
83,0.956397,0.930996
84,0.956346,0.930977
85,0.956287,0.930892
86,0.956285,0.930818
87,0.956228,0.930807
88,0.956174,0.930708
89,0.95606,0.930573
90,0.956037,0.93048
91,0.955957,0.930468
92,0.955945,0.930429
93,0.95567,0.930421
94,0.955642,0.93039
95,0.955616,0.930375
96,0.955534,0.930352
97,0.955378,0.930273
98,0.955373,0.930266
99,0.955355,0.930257
100,0.955244,0.930223
101,0.955224,0.93012
102,0.955157,0.930106
103,0.955094,0.930104
104,0.955064,0.930064
105,0.954986,0.929971
106,0.954984,0.929963
107,0.954944,0.929957
108,0.954918,0.929934
109,0.954815,0.929867
110,0.954774,0.929839
111,0.954682,0.929812
112,0.954679,0.929786
113,0.954673,0.929776
114,0.954632,0.929752
