Rank,PublicScore,PrivateScore
1,0.63045,0.5555
2,0.60409,0.55498
3,0.60103,0.5545
4,0.59692,0.55449
5,0.59676,0.55438
6,0.59516,0.55424
7,0.59508,0.55421
8,0.59488,0.55416
9,0.59438,0.5541
10,0.59436,0.55395
11,0.59434,0.5539
12,0.59427,0.55389
13,0.59423,0.55388
14,0.59419,0.55386
15,0.59411,0.55385
16,0.59393,0.55378
17,0.59386,0.55377
18,0.59377,0.55375
19,0.59375,0.55375
20,0.59366,0.5537
21,0.59357,0.55368
22,0.59347,0.55367
23,0.59322,0.55366
24,0.59316,0.55364
25,0.59293,0.55363
26,0.59292,0.5536
27,0.59278,0.55359
28,0.59274,0.55357
29,0.59266,0.55351
30,0.59263,0.55351
31,0.59259,0.55349
32,0.5925,0.55348
33,0.59235,0.55347
34,0.5922,0.55341
35,0.59203,0.5534
36,0.59202,0.55339
37,0.59192,0.55337
38,0.59178,0.55332
39,0.59172,0.55331
40,0.59162,0.55331
41,0.59158,0.55326
42,0.59151,0.55326
43,0.59133,0.55322
44,0.59127,0.55322
45,0.59122,0.5532
46,0.5912,0.55319
47,0.59114,0.55318
48,0.59111,0.55317
49,0.59105,0.55315
50,0.59105,0.55313
51,0.59091,0.55311
52,0.59083,0.5531
53,0.59077,0.5531
54,0.59074,0.55309
55,0.59052,0.55307
56,0.59051,0.55307
57,0.59048,0.55306
58,0.59035,0.55303
59,0.59002,0.55302
60,0.58991,0.55301
61,0.58976,0.55298
62,0.58961,0.55298
63,0.5896,0.55295
64,0.58959,0.55294
65,0.58953,0.55294
66,0.58927,0.55293
67,0.58926,0.55292
68,0.58903,0.5529
69,0.58868,0.5529
70,0.58864,0.55289
71,0.58857,0.55289
72,0.58832,0.55288
73,0.58816,0.55288
74,0.58815,0.55285
75,0.58814,0.55285
76,0.58813,0.55283
77,0.58806,0.55279
78,0.58804,0.55279
79,0.58803,0.55279
80,0.58785,0.55278
81,0.58781,0.55277
82,0.58781,0.55277
83,0.58769,0.55275
84,0.58766,0.55274
85,0.58745,0.55274
86,0.58734,0.55273
87,0.58706,0.55272
88,0.58696,0.55272
89,0.58691,0.5527
90,0.58679,0.5527
91,0.58678,0.5527
92,0.58677,0.55269
93,0.58674,0.55269
94,0.58672,0.55265
95,0.58661,0.55264
96,0.58658,0.55264
97,0.58651,0.55263
98,0.5864,0.55262
99,0.58635,0.55261
100,0.58633,0.55259
101,0.58602,0.55259
102,0.586,0.55258
103,0.58593,0.55257
104,0.58592,0.55257
105,0.58585,0.55257
106,0.58576,0.55254
107,0.58569,0.55253
108,0.58556,0.55252
109,0.58556,0.55252
110,0.58555,0.55251
111,0.58555,0.55251
112,0.58547,0.55251
113,0.58499,0.5525
114,0.58498,0.5525
115,0.58493,0.5525
116,0.58493,0.55249
117,0.58493,0.55249
118,0.58484,0.55248
119,0.58481,0.55248
120,0.58479,0.55248
121,0.58475,0.55248
122,0.58465,0.55248
123,0.58446,0.55246
124,0.58428,0.55246
125,0.58415,0.55245
126,0.5841,0.55244
127,0.58406,0.55244
128,0.58397,0.55244
129,0.58391,0.55243
130,0.58384,0.55243
131,0.58374,0.55241
132,0.58367,0.55241
133,0.58363,0.55239
134,0.58363,0.55239
135,0.58361,0.55238
136,0.58361,0.55237
137,0.58345,0.55237
138,0.58345,0.55237
139,0.58345,0.55235
140,0.58343,0.55234
141,0.58341,0.55234
142,0.58341,0.55233
143,0.58335,0.55233
144,0.58334,0.55233
145,0.58331,0.55233
146,0.58327,0.55232
147,0.58326,0.55232
148,0.58323,0.55229
149,0.58323,0.55229
150,0.58316,0.55229
151,0.58312,0.55229
152,0.58312,0.55229
153,0.58304,0.55228
154,0.58298,0.55228
155,0.58296,0.55228
156,0.58293,0.55227
157,0.58293,0.55227
158,0.58289,0.55227
159,0.58289,0.55227
160,0.58288,0.55227
161,0.58288,0.55227
162,0.58288,0.55227
163,0.58283,0.55227
164,0.5828,0.55227
165,0.58277,0.55227
166,0.58277,0.55227
167,0.58276,0.55227
168,0.5827,0.55227
169,0.5827,0.55227
170,0.58267,0.55227
171,0.58266,0.55227
172,0.58266,0.55227
173,0.58265,0.55227
174,0.5826,0.55227
175,0.58256,0.55227
176,0.58254,0.55227
177,0.58253,0.55227
178,0.58249,0.55227
179,0.58247,0.55227
180,0.58247,0.55227
181,0.58242,0.55227
182,0.58238,0.55227
183,0.58232,0.55227
184,0.5823,0.55227
185,0.58227,0.55227
186,0.58226,0.55227
187,0.58221,0.55227
188,0.5822,0.55227
189,0.58219,0.55227
190,0.58216,0.55227
191,0.58215,0.55226
192,0.58214,0.55226
193,0.58213,0.55225
194,0.58213,0.55225
195,0.58213,0.55225
196,0.58211,0.55225
197,0.58211,0.55224
198,0.5821,0.55223
199,0.5821,0.55222
200,0.58209,0.55221
201,0.58208,0.55221
202,0.58208,0.55221
203,0.58208,0.5522
204,0.58208,0.55219
205,0.58208,0.55219
206,0.58208,0.55219
207,0.58208,0.55219
208,0.58208,0.55219
209,0.58208,0.55218
210,0.58208,0.55218
211,0.58206,0.55217
212,0.58206,0.55217
213,0.58205,0.55217
214,0.58204,0.55216
215,0.58204,0.55216
216,0.58204,0.55216
217,0.58202,0.55216
218,0.58202,0.55215
219,0.58201,0.55215
220,0.58198,0.55215
221,0.58197,0.55215
222,0.58192,0.55215
223,0.58192,0.55215
224,0.58192,0.55215
225,0.5819,0.55215
226,0.58189,0.55215
227,0.58189,0.55215
228,0.58189,0.55215
229,0.58188,0.55215
230,0.58187,0.55215
231,0.58185,0.55215
232,0.58183,0.55215
233,0.58183,0.55215
234,0.58181,0.55215
235,0.5818,0.55215
236,0.5818,0.55215
237,0.5818,0.55215
238,0.58179,0.55215
239,0.58178,0.55214
240,0.58175,0.55214
241,0.5817,0.55214
242,0.58168,0.55213
243,0.58168,0.55213
244,0.58167,0.55213
245,0.58167,0.55213
246,0.58166,0.55213
247,0.58164,0.55212
248,0.58163,0.55212
249,0.58161,0.55212
250,0.5816,0.55212
251,0.58159,0.55211
252,0.58159,0.55211
253,0.58158,0.5521
254,0.58156,0.5521
255,0.58155,0.5521
256,0.58151,0.5521
257,0.5815,0.5521
258,0.5815,0.5521
259,0.58143,0.5521
260,0.5814,0.5521
261,0.58139,0.5521
262,0.58138,0.5521
263,0.58137,0.5521
264,0.58137,0.5521
265,0.58133,0.5521
266,0.58128,0.5521
267,0.58125,0.5521
268,0.58124,0.5521
269,0.58108,0.5521
270,0.58104,0.5521
271,0.581,0.5521
272,0.58097,0.5521
273,0.58096,0.5521
274,0.5809,0.5521
275,0.58089,0.5521
276,0.5808,0.5521
277,0.58079,0.5521
278,0.58076,0.5521
279,0.58068,0.5521
280,0.58067,0.5521
281,0.58066,0.5521
282,0.58065,0.55209
283,0.58059,0.55209
284,0.58058,0.55209
285,0.58056,0.55208
