Rank,PublicScore,PrivateScore
1,0.38055,0.38242
2,0.38246,0.38655
3,0.3836,0.38666
4,0.38861,0.39026
5,0.39036,0.39262
6,0.39047,0.39272
7,0.39243,0.39387
8,0.39551,0.39736
9,0.39636,0.39974
10,0.39704,0.40007
11,0.39738,0.40032
12,0.39748,0.40075
13,0.39772,0.40097
14,0.39892,0.40161
15,0.39986,0.40215
16,0.39991,0.40312
17,0.40032,0.40331
18,0.4007,0.40334
19,0.40161,0.40367
20,0.40187,0.4038
21,0.40224,0.40398
22,0.40258,0.40423
23,0.40284,0.40443
24,0.40349,0.40519
25,0.40389,0.40583
26,0.40432,0.40585
27,0.40438,0.40644
28,0.40444,0.40654
29,0.40463,0.40668
30,0.40478,0.40696
31,0.40514,0.40704
32,0.4053,0.40717
33,0.40534,0.40725
34,0.40541,0.40737
35,0.40607,0.40784
36,0.40653,0.40799
37,0.40702,0.40834
38,0.40709,0.40923
39,0.4071,0.40944
40,0.40714,0.40951
41,0.40768,0.40974
42,0.40802,0.41006
43,0.40833,0.41019
44,0.4085,0.41048
45,0.40856,0.41059
46,0.40879,0.41087
47,0.40885,0.41105
48,0.40903,0.41105
49,0.40922,0.41179
50,0.40947,0.41194
51,0.40952,0.41216
52,0.40979,0.4123
53,0.41014,0.41253
54,0.41022,0.41254
55,0.41038,0.41257
56,0.41044,0.41265
57,0.41045,0.41273
58,0.41059,0.41295
59,0.41059,0.41303
60,0.41068,0.41367
61,0.41093,0.41367
62,0.41126,0.41368
63,0.41126,0.41386
64,0.41131,0.41392
65,0.41149,0.41394
66,0.41173,0.41401
67,0.41179,0.41402
68,0.4122,0.41409
69,0.4122,0.4142
70,0.41238,0.41423
71,0.4125,0.41429
72,0.41258,0.41431
73,0.41266,0.41432
74,0.41272,0.41434
75,0.41273,0.41441
76,0.41281,0.41469
77,0.41293,0.41471
78,0.41301,0.41509
79,0.4131,0.41511
80,0.41328,0.41512
81,0.41329,0.41512
82,0.41329,0.41513
83,0.41357,0.41518
84,0.41358,0.41535
85,0.41358,0.4154
86,0.41371,0.41543
87,0.41376,0.41544
88,0.41395,0.41546
89,0.41403,0.4155
90,0.41419,0.41555
91,0.41422,0.41576
92,0.41425,0.41578
93,0.41426,0.4158
94,0.41427,0.41609
95,0.41441,0.41611
96,0.41447,0.41617
97,0.41457,0.41625
98,0.41464,0.41638
99,0.41469,0.41638
100,0.41479,0.41639
101,0.41481,0.41651
102,0.41482,0.41666
103,0.41483,0.41669
104,0.415,0.41676
105,0.41513,0.41683
106,0.41541,0.41725
107,0.41542,0.41731
108,0.41547,0.41736
109,0.41586,0.41743
110,0.41586,0.41757
111,0.41599,0.41759
112,0.41609,0.41771
113,0.4161,0.4178
114,0.41612,0.4178
115,0.4163,0.41785
116,0.41631,0.41789
117,0.41648,0.41796
118,0.41651,0.41803
119,0.41654,0.41803
120,0.41654,0.41808
121,0.41661,0.41811
122,0.41662,0.41812
123,0.4167,0.41812
124,0.41673,0.41818
125,0.41674,0.41818
126,0.41675,0.41826
127,0.41683,0.41826
128,0.41683,0.41835
129,0.41686,0.41836
130,0.41687,0.4185
131,0.41691,0.4185
132,0.41696,0.41855
133,0.41702,0.41869
134,0.41708,0.41879
135,0.41715,0.41888
136,0.41719,0.41889
137,0.41719,0.41897
138,0.41722,0.41899
139,0.41733,0.41904
140,0.41739,0.41906
141,0.41754,0.41921
142,0.4176,0.4193
