Rank,PublicScore,PrivateScore
1,0.99509,0.99512
2,0.9949,0.99486
3,0.99461,0.99459
4,0.99391,0.994
5,0.99373,0.99383
6,0.99372,0.99381
7,0.99361,0.99372
8,0.9935,0.99357
9,0.99346,0.99355
10,0.99343,0.99354
11,0.99342,0.99353
12,0.99342,0.99351
13,0.99336,0.99343
14,0.99334,0.9934
15,0.99331,0.99339
16,0.99329,0.99331
17,0.99328,0.9933
18,0.99322,0.99326
19,0.99314,0.99322
20,0.99311,0.99314
21,0.99305,0.99313
22,0.99302,0.99304
23,0.99299,0.99304
24,0.99295,0.99303
25,0.99294,0.99301
26,0.99293,0.99296
27,0.99293,0.99294
28,0.99291,0.99294
29,0.99289,0.99293
30,0.99282,0.99292
31,0.99276,0.99283
32,0.99275,0.9928
33,0.99272,0.99272
34,0.9927,0.9927
35,0.99267,0.9927
36,0.99264,0.99269
37,0.99263,0.99267
38,0.99256,0.99263
39,0.99256,0.99261
40,0.99256,0.9926
41,0.99255,0.99259
42,0.99252,0.99258
43,0.99252,0.99257
44,0.99252,0.99256
45,0.99248,0.99254
46,0.99247,0.99251
47,0.99245,0.9925
48,0.99243,0.99244
49,0.99242,0.99242
50,0.99233,0.99238
51,0.99232,0.99235
52,0.99232,0.99234
53,0.99228,0.99232
54,0.99227,0.9923
55,0.99226,0.99229
56,0.99226,0.99228
57,0.99225,0.99227
58,0.99224,0.99226
59,0.99223,0.99225
60,0.99223,0.99225
61,0.99222,0.99225
62,0.99222,0.99225
63,0.9922,0.99224
64,0.9922,0.99224
65,0.9922,0.99221
66,0.99219,0.99221
67,0.99218,0.9922
68,0.99215,0.9922
69,0.99215,0.99219
70,0.99214,0.99218
71,0.99214,0.99217
72,0.99213,0.99217
73,0.99212,0.99217
74,0.99212,0.99215
75,0.99212,0.99215
76,0.99211,0.99214
77,0.99211,0.99214
78,0.99211,0.99213
79,0.99209,0.99212
80,0.99209,0.99211
81,0.99208,0.9921
82,0.99208,0.9921
83,0.99207,0.9921
84,0.99207,0.99208
85,0.99207,0.99207
86,0.99207,0.99207
