Rank,PublicScore,PrivateScore
1,0.68325,0.67938
2,0.68187,0.67921
3,0.68135,0.67861
4,0.68107,0.67856
5,0.68097,0.67819
6,0.68059,0.67813
7,0.68049,0.67791
8,0.68017,0.6779
9,0.68011,0.67763
10,0.67989,0.67754
11,0.67984,0.67753
12,0.67982,0.67745
13,0.67938,0.67733
14,0.67936,0.67726
15,0.67935,0.67708
16,0.67933,0.677
17,0.67932,0.67699
18,0.67931,0.67693
19,0.67924,0.67689
20,0.67911,0.67683
21,0.67903,0.67681
22,0.67893,0.67671
23,0.67881,0.67651
24,0.67879,0.67637
25,0.67869,0.67618
26,0.67862,0.67616
27,0.67838,0.67613
28,0.67832,0.67607
29,0.67828,0.67605
30,0.67823,0.67604
31,0.67819,0.67589
32,0.67808,0.67582
33,0.67804,0.67571
34,0.67785,0.67568
35,0.67777,0.67566
36,0.67774,0.67566
37,0.67774,0.67563
38,0.6777,0.67555
39,0.67766,0.67554
40,0.6776,0.67552
41,0.6776,0.67552
42,0.67758,0.6755
43,0.67756,0.67546
44,0.67747,0.67542
45,0.67746,0.67541
46,0.67739,0.67535
47,0.67729,0.67521
48,0.67725,0.67512
49,0.67717,0.67509
50,0.67708,0.675
51,0.67705,0.67499
52,0.67699,0.67491
53,0.67697,0.67481
54,0.67693,0.6748
55,0.67692,0.6748
56,0.67689,0.67471
57,0.67684,0.6747
58,0.67682,0.6747
59,0.67681,0.67469
60,0.67676,0.67466
61,0.67674,0.67463
62,0.67663,0.6746
63,0.67662,0.67459
64,0.67655,0.67456
65,0.67649,0.67451
66,0.67643,0.67448
67,0.67639,0.67448
68,0.67639,0.67443
69,0.67636,0.67442
70,0.67634,0.67441
71,0.67631,0.6744
72,0.6763,0.67436
73,0.67624,0.67429
74,0.67616,0.67428
75,0.67613,0.67427
76,0.67612,0.67422
77,0.67604,0.67419
78,0.67603,0.67413
79,0.67602,0.67403
80,0.67598,0.67398
81,0.67597,0.67393
82,0.67596,0.67384
83,0.67594,0.67382
84,0.67592,0.67381
85,0.67592,0.6737
86,0.67591,0.6737
87,0.67591,0.67364
88,0.67588,0.67364
89,0.67587,0.67363
90,0.67587,0.67363
91,0.67581,0.67361
92,0.67581,0.67357
93,0.67581,0.67351
94,0.67579,0.6735
95,0.67578,0.67349
96,0.67577,0.67344
97,0.67575,0.67337
98,0.67574,0.67335
99,0.67572,0.67332
100,0.67569,0.67332
101,0.67568,0.67331
102,0.67566,0.67329
103,0.67564,0.67325
104,0.67563,0.67323
105,0.67561,0.67322
106,0.67561,0.6732
107,0.6756,0.67317
108,0.6756,0.67315
109,0.6756,0.67311
110,0.67559,0.67308
111,0.67557,0.67308
112,0.67556,0.67308
113,0.67554,0.67307
114,0.67552,0.67307
115,0.67552,0.67297
116,0.6755,0.67293
117,0.67548,0.67293
118,0.67544,0.67291
119,0.67544,0.67289
120,0.67543,0.67287
121,0.67541,0.67286
122,0.67541,0.67284
123,0.67539,0.67284
124,0.67539,0.67278
125,0.67539,0.67278
126,0.67538,0.67273
127,0.67535,0.67267
128,0.67535,0.67265
129,0.67534,0.67265
130,0.67531,0.67264
131,0.6753,0.67262
132,0.67528,0.67259
133,0.67528,0.67258
134,0.67527,0.67258
135,0.67526,0.67258
136,0.67524,0.67258
137,0.67523,0.67252
138,0.67522,0.67249
139,0.67522,0.67246
140,0.67521,0.67245
141,0.67521,0.67245
142,0.67521,0.67243
143,0.67521,0.67241
144,0.67519,0.67241
145,0.67518,0.6724
146,0.67518,0.67238
147,0.67517,0.67234
148,0.67516,0.6723
149,0.67514,0.67227
150,0.67513,0.67223
151,0.67511,0.67223
152,0.67509,0.67219
153,0.67509,0.67216
154,0.67508,0.67211
155,0.67507,0.67208
156,0.67507,0.67208
157,0.67505,0.67207
158,0.67504,0.67203
159,0.67504,0.672
160,0.67504,0.67198
161,0.67502,0.67197
162,0.67498,0.67197
163,0.67495,0.67195
164,0.67494,0.67194
165,0.67494,0.67192
166,0.67493,0.67191
167,0.67493,0.67191
168,0.67491,0.67188
169,0.67489,0.67185
170,0.67486,0.67182
171,0.67482,0.67178
172,0.67481,0.67177
173,0.67481,0.67177
174,0.6748,0.67175
175,0.6748,0.67173
176,0.67479,0.67172
177,0.67479,0.67171
178,0.67477,0.6717
179,0.67475,0.67167
180,0.67475,0.67165
181,0.67475,0.67159
182,0.67475,0.67158
183,0.67474,0.67157
184,0.67474,0.67157
185,0.67473,0.67157
186,0.67472,0.67157
187,0.6747,0.67155
188,0.67469,0.67154
189,0.67469,0.67154
190,0.67467,0.67153
191,0.67467,0.67153
192,0.67466,0.67148
193,0.67466,0.67145
194,0.67466,0.67144
195,0.67464,0.67144
196,0.67464,0.67142
197,0.67463,0.67142
198,0.67463,0.67141
199,0.67463,0.6714
200,0.67462,0.6714
201,0.67461,0.67139
202,0.67461,0.67133
203,0.67461,0.67131
204,0.67461,0.6713
205,0.6746,0.67129
206,0.67459,0.67121
207,0.67459,0.6712
208,0.67459,0.6712
209,0.67459,0.67117
210,0.67459,0.67113
211,0.67459,0.67112
212,0.67459,0.67109
213,0.67459,0.67109
214,0.67459,0.67108
215,0.67459,0.67105
216,0.67459,0.67105
217,0.67459,0.67102
218,0.67459,0.67099
219,0.67459,0.67099
220,0.67459,0.67098
221,0.67459,0.67097
222,0.67459,0.67096
223,0.67459,0.67096
224,0.67459,0.67095
225,0.67459,0.67091
226,0.67459,0.67091
227,0.67459,0.67089
228,0.67459,0.67089
229,0.67459,0.67088
230,0.67459,0.67087
231,0.67459,0.67085
232,0.67459,0.67084
233,0.67459,0.67083
234,0.67459,0.6708
235,0.67459,0.67078
236,0.67459,0.67078
237,0.67459,0.67077
238,0.67459,0.67077
239,0.67459,0.67077
240,0.67459,0.67077
241,0.67459,0.67077
242,0.67459,0.67077
243,0.67459,0.67077
244,0.67459,0.67077
245,0.67459,0.67077
246,0.67459,0.67077
247,0.67459,0.67077
248,0.67459,0.67077
249,0.67459,0.67077
250,0.67459,0.67077
251,0.67459,0.67077
252,0.67459,0.67077
253,0.67459,0.67077
254,0.67459,0.67077
255,0.67459,0.67076
256,0.67459,0.67073
257,0.67459,0.67073
258,0.67459,0.67069
259,0.67459,0.67068
260,0.67459,0.67068
261,0.67459,0.67067
262,0.67459,0.67067
263,0.67459,0.67067
264,0.67459,0.67064
265,0.67459,0.67063
266,0.67459,0.67062
267,0.67459,0.67062
268,0.67459,0.67062
269,0.67459,0.67061
270,0.67459,0.67058
271,0.67459,0.67058
272,0.67459,0.67057
273,0.67459,0.67052
274,0.67459,0.67051
275,0.67459,0.67048
276,0.67459,0.67046
277,0.67459,0.67043
278,0.67459,0.67039
279,0.67459,0.67039
280,0.67459,0.67038
281,0.67459,0.67036
282,0.67459,0.67033
283,0.67459,0.67032
284,0.67459,0.67032
285,0.67459,0.6703
286,0.67459,0.6703
287,0.67459,0.67027
288,0.67459,0.67025
289,0.67459,0.67024
290,0.67459,0.67022
291,0.67459,0.6702
292,0.67459,0.67018
293,0.67459,0.67018
294,0.67459,0.67017
295,0.67459,0.67013
296,0.67459,0.67013
297,0.67459,0.67013
298,0.67459,0.67011
299,0.67459,0.67011
300,0.67459,0.67011
301,0.67459,0.6701
302,0.67459,0.67009
303,0.67459,0.67007
304,0.67459,0.67007
305,0.67459,0.67006
306,0.67459,0.67006
307,0.67459,0.67004
308,0.67459,0.67003
309,0.67459,0.67002
310,0.67459,0.67002
311,0.67459,0.67001
312,0.67459,0.67001
313,0.67459,0.67
314,0.67459,0.66997
315,0.67459,0.66994
316,0.67459,0.66994
317,0.67459,0.66993
318,0.67459,0.66989
319,0.67459,0.66988
320,0.67459,0.66987
321,0.67459,0.66986
322,0.67459,0.66983
323,0.67459,0.66983
324,0.67459,0.66983
325,0.67459,0.66982
326,0.67459,0.6698
327,0.67459,0.66976
328,0.67459,0.66975
329,0.67459,0.66973
330,0.67459,0.66971
331,0.67459,0.66971
332,0.67459,0.66966
333,0.67459,0.66965
334,0.67459,0.66964
335,0.67459,0.66964
336,0.67459,0.66962
337,0.67459,0.66961
338,0.67459,0.66959
339,0.67459,0.66958
340,0.67459,0.66958
341,0.67459,0.66958
342,0.67459,0.66954
343,0.67459,0.66954
344,0.67459,0.66954
345,0.67459,0.66951
346,0.67459,0.6695
347,0.67459,0.66949
348,0.67459,0.66949
349,0.67459,0.66949
350,0.67459,0.66948
351,0.67459,0.66948
352,0.67459,0.66948
353,0.67459,0.66948
354,0.67459,0.66948
355,0.67459,0.66945
356,0.67459,0.66941
357,0.67459,0.6694
358,0.67459,0.66937
359,0.67459,0.66937
360,0.67459,0.66937
361,0.67459,0.66936
362,0.67459,0.66936
363,0.67459,0.66936
364,0.67459,0.66934
365,0.67459,0.66934
366,0.67459,0.66933
367,0.67459,0.66932
368,0.67459,0.66931
369,0.67459,0.6693
370,0.67459,0.66927
371,0.67459,0.66927
372,0.67459,0.66927
373,0.67459,0.66927
374,0.67459,0.66927
375,0.67459,0.66927
376,0.67459,0.66925
377,0.67459,0.66924
378,0.67459,0.66923
379,0.67459,0.66923
380,0.67459,0.66922
381,0.67459,0.66921
382,0.67459,0.66921
383,0.67459,0.66921
384,0.67459,0.66921
385,0.67459,0.6692
386,0.67459,0.66918
387,0.67459,0.66915
388,0.67459,0.66915
389,0.67459,0.66913
390,0.67459,0.66913
391,0.67459,0.66912
392,0.67459,0.66912
393,0.67459,0.66911
394,0.67459,0.6691
395,0.67459,0.66909
396,0.67459,0.66909
397,0.67459,0.66909
398,0.67459,0.66909
399,0.67459,0.66907
400,0.67459,0.66907
401,0.67459,0.66904
402,0.67459,0.66904
403,0.67459,0.66904
404,0.67459,0.66903
405,0.67459,0.66902
406,0.67459,0.66902
407,0.67459,0.66901
408,0.67459,0.66901
409,0.67459,0.66898
410,0.67459,0.66898
411,0.67459,0.66896
412,0.67459,0.66895
413,0.67459,0.66892
414,0.67459,0.66891
415,0.67459,0.6689
416,0.67459,0.66889
417,0.67459,0.66888
418,0.67459,0.66886
419,0.67459,0.66886
420,0.67459,0.66885
421,0.67459,0.66884
422,0.67459,0.66884
423,0.67459,0.66883
424,0.67459,0.66882
425,0.67459,0.66882
426,0.67459,0.66881
427,0.67459,0.66879
428,0.67459,0.66879
429,0.67459,0.66879
430,0.67459,0.66879
431,0.67459,0.66879
432,0.67459,0.66879
433,0.67459,0.66879
434,0.67459,0.66879
435,0.67459,0.66879
436,0.67459,0.66879
437,0.67459,0.66879
438,0.67459,0.66879
439,0.67459,0.66879
440,0.67459,0.66879
441,0.67459,0.66879
442,0.67459,0.66879
443,0.67459,0.66879
444,0.67459,0.66879
445,0.67459,0.66879
446,0.67459,0.66878
447,0.67459,0.66878
448,0.67459,0.66877
449,0.67459,0.66877
450,0.67459,0.66876
451,0.67459,0.66876
452,0.67459,0.66876
453,0.67459,0.66875
454,0.67459,0.66873
455,0.67459,0.66873
456,0.67459,0.66872
457,0.67459,0.66871
458,0.67459,0.66869
459,0.67459,0.66868
460,0.67459,0.66868
