Rank,PublicScore,PrivateScore
1,0.84532,0.82907
2,0.84527,0.82906
3,0.84488,0.82853
4,0.84483,0.82846
5,0.84416,0.82834
6,0.84403,0.82834
7,0.84396,0.82829
8,0.84394,0.82824
9,0.8439,0.82823
10,0.84381,0.82818
11,0.84377,0.82815
12,0.84376,0.82811
13,0.84374,0.82808
14,0.84363,0.82801
15,0.84357,0.82799
16,0.84356,0.82798
17,0.84352,0.82795
18,0.8435,0.82793
19,0.84344,0.82792
20,0.84344,0.82792
21,0.84336,0.8279
22,0.84332,0.82789
23,0.84332,0.82788
24,0.8433,0.82785
25,0.84329,0.82785
26,0.84327,0.82784
27,0.84326,0.82783
28,0.84325,0.8278
29,0.84325,0.82779
30,0.84322,0.82778
31,0.84321,0.82778
32,0.8432,0.82775
33,0.84319,0.82775
34,0.84317,0.82774
35,0.84316,0.82771
36,0.84316,0.82769
37,0.84315,0.82768
38,0.84315,0.82767
39,0.84313,0.82767
40,0.84313,0.82766
41,0.84312,0.82766
42,0.84311,0.82765
43,0.84311,0.82765
44,0.84311,0.82764
45,0.84311,0.82761
46,0.84311,0.82761
47,0.84308,0.82761
48,0.84307,0.8276
49,0.84307,0.8276
50,0.84305,0.8276
51,0.84305,0.8276
52,0.84304,0.8276
53,0.84304,0.82759
54,0.84303,0.82758
55,0.84303,0.82758
56,0.84301,0.82758
57,0.84301,0.82758
58,0.84301,0.82757
59,0.84301,0.82756
60,0.843,0.82755
61,0.843,0.82755
62,0.843,0.82755
63,0.843,0.82754
64,0.84299,0.82754
65,0.84298,0.82752
66,0.84298,0.82752
67,0.84298,0.82751
68,0.84297,0.82751
69,0.84297,0.82751
70,0.84297,0.82751
71,0.84297,0.8275
72,0.84297,0.82749
73,0.84297,0.82748
74,0.84297,0.82748
75,0.84296,0.82748
76,0.84296,0.82748
77,0.84295,0.82747
78,0.84294,0.82747
79,0.84294,0.82747
80,0.84294,0.82747
81,0.84294,0.82747
82,0.84293,0.82747
83,0.84293,0.82746
84,0.84292,0.82746
85,0.84292,0.82745
86,0.84292,0.82745
87,0.84292,0.82745
88,0.84291,0.82745
89,0.84291,0.82745
90,0.8429,0.82745
91,0.8429,0.82744
92,0.8429,0.82743
93,0.8429,0.82743
94,0.84289,0.82742
95,0.84289,0.82742
96,0.84289,0.82742
97,0.84289,0.82741
98,0.84288,0.82741
99,0.84288,0.82741
100,0.84288,0.82741
101,0.84288,0.8274
102,0.84287,0.8274
103,0.84287,0.8274
104,0.84287,0.82739
105,0.84287,0.82739
106,0.84287,0.82739
107,0.84287,0.82739
108,0.84287,0.82738
109,0.84287,0.82738
110,0.84287,0.82738
111,0.84287,0.82738
112,0.84286,0.82738
113,0.84286,0.82738
114,0.84286,0.82737
115,0.84286,0.82737
116,0.84285,0.82737
117,0.84285,0.82736
118,0.84285,0.82736
119,0.84285,0.82736
120,0.84285,0.82736
121,0.84285,0.82736
122,0.84285,0.82735
123,0.84285,0.82733
124,0.84284,0.82733
125,0.84284,0.82733
126,0.84284,0.82732
127,0.84284,0.82731
128,0.84284,0.82731
129,0.84284,0.82731
130,0.84284,0.82731
131,0.84284,0.8273
132,0.84284,0.8273
133,0.84284,0.8273
134,0.84284,0.8273
135,0.84283,0.8273
136,0.84283,0.8273
137,0.84283,0.82729
138,0.84283,0.82729
139,0.84283,0.82729
140,0.84283,0.82729
141,0.84283,0.82729
142,0.84283,0.82729
143,0.84283,0.82728
144,0.84283,0.82728
145,0.84283,0.82727
146,0.84283,0.82727
147,0.84283,0.82727
148,0.84283,0.82727
149,0.84283,0.82727
150,0.84283,0.82727
151,0.84283,0.82726
152,0.84283,0.82726
153,0.84283,0.82726
154,0.84283,0.82725
155,0.84283,0.82725
156,0.84283,0.82725
157,0.84283,0.82724
158,0.84283,0.82724
159,0.84283,0.82724
160,0.84283,0.82724
161,0.84283,0.82724
162,0.84283,0.82724
163,0.84283,0.82724
164,0.84283,0.82724
165,0.84283,0.82724
166,0.84283,0.82724
167,0.84283,0.82723
168,0.84283,0.82723
169,0.84283,0.82723
170,0.84283,0.82723
171,0.84283,0.82722
172,0.84283,0.82722
173,0.84283,0.82722
174,0.84283,0.82722
175,0.84283,0.82721
176,0.84283,0.82721
177,0.84283,0.82721
178,0.84283,0.82721
179,0.84283,0.82721
180,0.84283,0.82721
181,0.84283,0.8272
182,0.84283,0.8272
183,0.84283,0.8272
184,0.84283,0.8272
185,0.84283,0.8272
186,0.84283,0.8272
187,0.84283,0.8272
188,0.84283,0.82719
189,0.84283,0.82719
190,0.84283,0.82719
191,0.84283,0.82719
192,0.84283,0.82718
193,0.84283,0.82718
194,0.84283,0.82718
195,0.84283,0.82718
196,0.84283,0.82718
197,0.84283,0.82717
198,0.84283,0.82717
199,0.84283,0.82717
200,0.84283,0.82717
201,0.84283,0.82716
202,0.84283,0.82716
203,0.84283,0.82716
204,0.84283,0.82716
205,0.84283,0.82716
206,0.84283,0.82716
207,0.84283,0.82716
208,0.84283,0.82716
209,0.84283,0.82716
210,0.84283,0.82716
211,0.84283,0.82716
212,0.84283,0.82716
213,0.84283,0.82716
214,0.84283,0.82716
215,0.84283,0.82716
216,0.84283,0.82716
217,0.84283,0.82716
218,0.84283,0.82716
219,0.84283,0.82716
220,0.84283,0.82716
221,0.84283,0.82716
222,0.84283,0.82715
223,0.84283,0.82715
224,0.84283,0.82715
225,0.84283,0.82715
226,0.84283,0.82715
227,0.84283,0.82715
228,0.84283,0.82715
229,0.84283,0.82715
230,0.84283,0.82715
231,0.84283,0.82714
232,0.84283,0.82714
233,0.84283,0.82714
234,0.84283,0.82714
235,0.84283,0.82714
236,0.84283,0.82714
237,0.84283,0.82714
238,0.84283,0.82714
239,0.84283,0.82713
240,0.84283,0.82713
241,0.84283,0.82713
242,0.84283,0.82713
243,0.84283,0.82713
244,0.84283,0.82713
245,0.84283,0.82713
246,0.84283,0.82713
247,0.84283,0.82713
248,0.84283,0.82713
249,0.84283,0.82713
250,0.84283,0.82713
251,0.84283,0.82712
252,0.84283,0.82712
253,0.84283,0.82712
254,0.84283,0.82712
255,0.84283,0.82712
256,0.84283,0.82712
257,0.84283,0.82712
258,0.84283,0.82712
259,0.84283,0.82712
260,0.84283,0.82712
261,0.84283,0.82712
262,0.84283,0.82712
263,0.84283,0.82712
264,0.84283,0.82712
265,0.84283,0.82712
266,0.84283,0.82712
267,0.84283,0.82712
268,0.84283,0.82711
269,0.84283,0.82711
270,0.84283,0.82711
271,0.84283,0.82711
272,0.84283,0.82711
273,0.84283,0.82711
274,0.84283,0.82711
275,0.84283,0.82711
276,0.84282,0.82711
277,0.84282,0.82711
278,0.84282,0.82711
279,0.84282,0.82711
280,0.84282,0.82711
281,0.84282,0.8271
282,0.84282,0.8271
283,0.84282,0.8271
284,0.84282,0.8271
285,0.84282,0.8271
286,0.84282,0.8271
287,0.84282,0.8271
288,0.84282,0.8271
289,0.84282,0.82709
290,0.84282,0.82709
291,0.84282,0.82709
292,0.84282,0.82709
293,0.84282,0.82709
294,0.84282,0.82709
295,0.84282,0.82709
296,0.84282,0.82709
297,0.84282,0.82708
298,0.84282,0.82708
299,0.84282,0.82708
300,0.84282,0.82708
301,0.84282,0.82708
302,0.84282,0.82708
303,0.84282,0.82707
304,0.84282,0.82707
305,0.84282,0.82707
306,0.84282,0.82707
307,0.84282,0.82707
308,0.84282,0.82707
309,0.84282,0.82707
310,0.84282,0.82707
311,0.84282,0.82707
312,0.84282,0.82707
313,0.84282,0.82707
314,0.84282,0.82707
315,0.84282,0.82707
316,0.84282,0.82707
317,0.84282,0.82707
318,0.84282,0.82707
319,0.84282,0.82707
320,0.84282,0.82707
321,0.84282,0.82707
322,0.84282,0.82707
323,0.84282,0.82707
324,0.84282,0.82706
325,0.84282,0.82706
326,0.84282,0.82706
327,0.84282,0.82705
328,0.84282,0.82705
329,0.84282,0.82705
330,0.84282,0.82705
331,0.84282,0.82705
332,0.84282,0.82705
333,0.84282,0.82705
334,0.84281,0.82705
335,0.84281,0.82705
336,0.84281,0.82705
337,0.84281,0.82705
338,0.84281,0.82705
339,0.8428,0.82704
340,0.8428,0.82704
341,0.84279,0.82704
342,0.84279,0.82704
343,0.84278,0.82704
344,0.84278,0.82704
345,0.84278,0.82704
346,0.84277,0.82704
347,0.84277,0.82704
348,0.84277,0.82704
349,0.84277,0.82704
350,0.84277,0.82704
351,0.84276,0.82704
352,0.84276,0.82704
353,0.84276,0.82704
354,0.84276,0.82704
355,0.84276,0.82703
356,0.84276,0.82703
357,0.84276,0.82703
358,0.84276,0.82703
359,0.84275,0.82703
360,0.84275,0.82703
361,0.84275,0.82702
362,0.84275,0.82702
363,0.84275,0.82702
364,0.84275,0.82702
365,0.84275,0.82702
366,0.84275,0.82702
367,0.84275,0.82702
368,0.84275,0.82702
369,0.84275,0.82702
370,0.84275,0.82702
371,0.84275,0.82702
372,0.84275,0.82702
373,0.84275,0.82702
374,0.84275,0.82702
375,0.84275,0.82702
376,0.84275,0.82702
377,0.84275,0.82702
378,0.84275,0.82701
379,0.84275,0.82701
380,0.84275,0.82701
381,0.84275,0.82701
382,0.84275,0.82701
383,0.84275,0.82701
384,0.84275,0.82701
385,0.84275,0.82701
386,0.84275,0.82701
387,0.84275,0.82701
388,0.84275,0.82701
389,0.84275,0.82701
390,0.84275,0.82701
391,0.84275,0.82701
392,0.84275,0.827
393,0.84275,0.827
394,0.84275,0.827
395,0.84275,0.827
396,0.84275,0.827
397,0.84275,0.827
398,0.84275,0.827
399,0.84275,0.827
400,0.84275,0.827
401,0.84275,0.827
402,0.84275,0.82699
403,0.84275,0.82699
404,0.84275,0.82699
405,0.84275,0.82699
406,0.84275,0.82699
407,0.84275,0.82698
408,0.84275,0.82698
409,0.84275,0.82698
410,0.84275,0.82698
411,0.84275,0.82698
412,0.84275,0.82698
413,0.84275,0.82698
414,0.84275,0.82698
415,0.84275,0.82697
416,0.84275,0.82697
417,0.84275,0.82697
418,0.84275,0.82697
419,0.84275,0.82697
420,0.84275,0.82697
421,0.84275,0.82697
422,0.84275,0.82697
423,0.84275,0.82697
424,0.84275,0.82697
425,0.84275,0.82697
426,0.84275,0.82696
427,0.84275,0.82696
428,0.84275,0.82696
429,0.84275,0.82696
430,0.84275,0.82696
431,0.84275,0.82695
432,0.84275,0.82695
433,0.84275,0.82695
434,0.84275,0.82695
435,0.84275,0.82695
436,0.84275,0.82695
437,0.84275,0.82695
