Rank,PublicScore,PrivateScore
1,0.29755,0.30087
2,0.30069,0.30925
3,0.30629,0.31032
4,0.3064,0.31073
5,0.30664,0.31104
6,0.3067,0.31118
7,0.30714,0.31118
8,0.30738,0.31119
9,0.30758,0.31127
10,0.30758,0.31163
11,0.30782,0.31167
12,0.30793,0.31173
13,0.30842,0.31179
14,0.30842,0.31193
15,0.30842,0.31211
16,0.30843,0.31227
17,0.30845,0.31236
18,0.30853,0.31239
19,0.30859,0.3127
20,0.30893,0.31291
21,0.30897,0.31309
22,0.30897,0.31321
23,0.30903,0.31325
24,0.30906,0.3133
25,0.30906,0.31338
26,0.3091,0.31338
27,0.30916,0.31352
28,0.30916,0.31358
29,0.30918,0.31362
30,0.30922,0.3137
31,0.30922,0.3137
32,0.30927,0.31375
33,0.30933,0.31376
34,0.30935,0.31377
35,0.30936,0.31381
36,0.30936,0.31384
37,0.3094,0.31386
38,0.30943,0.31388
39,0.30948,0.31392
40,0.30948,0.314
41,0.30949,0.3141
42,0.30956,0.31412
43,0.30958,0.31422
44,0.30958,0.31431
45,0.30958,0.31431
46,0.30965,0.31435
47,0.30966,0.31437
48,0.30967,0.3144
49,0.30968,0.31443
50,0.30969,0.31446
51,0.30972,0.3145
52,0.30972,0.31453
53,0.30973,0.31453
54,0.30974,0.31453
55,0.30974,0.31456
56,0.30974,0.31459
57,0.30975,0.31467
58,0.30975,0.31467
59,0.30976,0.31474
60,0.30976,0.3148
61,0.30978,0.31483
62,0.30978,0.31483
63,0.30979,0.31485
64,0.3098,0.31488
65,0.30981,0.31492
66,0.30983,0.31493
67,0.30983,0.31498
68,0.30983,0.31499
69,0.30985,0.31499
70,0.30985,0.31499
71,0.30987,0.31504
72,0.30987,0.31504
73,0.30988,0.31511
74,0.30988,0.31512
75,0.30991,0.31514
76,0.30991,0.31522
77,0.30992,0.31524
78,0.30992,0.31524
79,0.30992,0.31526
80,0.30993,0.31527
81,0.30994,0.31528
82,0.30995,0.31528
83,0.30996,0.31531
84,0.30997,0.31538
85,0.30998,0.31539
86,0.30999,0.3154
87,0.30999,0.31541
88,0.30999,0.31546
89,0.31,0.31551
90,0.31,0.31552
91,0.31,0.31553
92,0.31,0.31553
93,0.31002,0.31556
94,0.31003,0.31558
95,0.31003,0.31561
96,0.31003,0.31562
97,0.31004,0.31562
98,0.31004,0.31562
99,0.31005,0.31563
100,0.31007,0.31564
101,0.31007,0.31565
