Rank,PublicScore,PrivateScore
1,0.80925,0.80426
2,0.80907,0.80393
3,0.80899,0.80389
4,0.80866,0.80367
5,0.80786,0.80208
6,0.80743,0.80194
7,0.80678,0.80178
8,0.80667,0.80157
9,0.8064,0.80089
10,0.80636,0.80083
11,0.80628,0.80021
12,0.8049,0.8001
13,0.80465,0.79957
14,0.80458,0.79925
15,0.8042,0.79924
16,0.80408,0.7986
17,0.80373,0.79857
18,0.80368,0.79856
19,0.80344,0.79837
20,0.80343,0.79835
21,0.80331,0.79831
22,0.80315,0.7983
23,0.8031,0.79829
24,0.80304,0.79814
25,0.80303,0.7981
26,0.80301,0.79806
27,0.80298,0.79803
28,0.80298,0.79802
29,0.80295,0.79799
30,0.80292,0.79791
31,0.80291,0.79789
32,0.8029,0.79787
33,0.80288,0.79778
34,0.80283,0.79769
35,0.8028,0.79768
36,0.80279,0.79765
37,0.80275,0.79762
38,0.80264,0.79752
39,0.80262,0.7975
40,0.80254,0.79748
41,0.80253,0.79746
42,0.8025,0.79745
43,0.80248,0.79742
44,0.80247,0.79741
45,0.80242,0.79735
46,0.80239,0.79735
47,0.80231,0.79735
48,0.80227,0.79734
49,0.80226,0.79732
50,0.80224,0.7973
51,0.80223,0.79729
52,0.8022,0.79723
53,0.80207,0.79715
54,0.80205,0.79713
55,0.80203,0.79709
56,0.80203,0.79703
57,0.80202,0.79702
58,0.80202,0.79692
59,0.80202,0.79684
60,0.80197,0.79682
61,0.80196,0.7968
62,0.80195,0.79675
63,0.80194,0.79673
64,0.80181,0.79673
65,0.80181,0.79671
66,0.8018,0.79669
67,0.80174,0.79668
68,0.80172,0.79668
69,0.80171,0.79664
70,0.80169,0.79664
71,0.80169,0.79659
72,0.80169,0.79658
73,0.80166,0.79655
74,0.80165,0.79643
75,0.80161,0.79643
76,0.8016,0.79641
77,0.8016,0.79638
78,0.80155,0.79636
79,0.80155,0.79635
80,0.80154,0.79631
81,0.80152,0.79629
82,0.80147,0.79628
83,0.80143,0.79625
84,0.80134,0.79623
85,0.80134,0.79619
86,0.80132,0.79615
87,0.80131,0.79614
88,0.8013,0.79611
89,0.80127,0.7961
90,0.80125,0.79608
91,0.80124,0.79607
92,0.80122,0.79605
93,0.80122,0.79602
94,0.80122,0.79599
95,0.80119,0.79595
96,0.80119,0.79592
97,0.80118,0.79589
98,0.80117,0.79586
99,0.80115,0.79584
100,0.80114,0.79583
101,0.80112,0.79582
102,0.80107,0.79577
103,0.80102,0.79576
104,0.801,0.79575
105,0.80095,0.79572
106,0.80095,0.79571
107,0.80095,0.79567
108,0.80093,0.79565
109,0.80092,0.79562
110,0.80088,0.79561
111,0.80088,0.79559
112,0.80085,0.79556
113,0.80082,0.79554
114,0.8008,0.79553
115,0.8008,0.79552
116,0.80078,0.79549
117,0.80075,0.79549
118,0.80072,0.79549
119,0.8007,0.79547
120,0.8007,0.79546
121,0.80069,0.79545
122,0.80069,0.79544
123,0.80068,0.79544
124,0.80065,0.79541
125,0.80065,0.79539
126,0.80062,0.79539
127,0.80062,0.79537
128,0.8006,0.79535
129,0.8006,0.79534
130,0.80057,0.79533
131,0.80056,0.79531
132,0.80056,0.79529
133,0.80055,0.79528
134,0.80055,0.79526
135,0.80054,0.79524
136,0.80053,0.79524
137,0.80053,0.79521
138,0.80051,0.7952
139,0.80051,0.79518
140,0.8005,0.79517
141,0.8005,0.79517
142,0.80049,0.79515
143,0.80049,0.79515
144,0.80048,0.79514
145,0.80047,0.79514
146,0.80046,0.79513
147,0.80043,0.79513
148,0.80042,0.79512
149,0.80041,0.79512
150,0.80039,0.79512
151,0.80035,0.7951
152,0.80033,0.79508
153,0.80032,0.79503
154,0.8003,0.79502
155,0.80028,0.79501
156,0.80028,0.79496
157,0.80027,0.79495
158,0.80025,0.79492
159,0.80025,0.79491
160,0.80024,0.79491
161,0.80024,0.79491
162,0.80022,0.79489
163,0.8002,0.79488
164,0.80019,0.79487
165,0.80016,0.79487
166,0.80013,0.79486
167,0.80013,0.79486
168,0.80012,0.79482
169,0.80008,0.79476
170,0.80008,0.79476
171,0.80006,0.79475
172,0.80005,0.79475
173,0.80004,0.79474
174,0.80002,0.79474
175,0.80002,0.79474
176,0.80001,0.79473
177,0.80001,0.79469
178,0.8,0.79469
179,0.79997,0.79467
180,0.79994,0.79465
181,0.79994,0.79464
182,0.79994,0.79464
183,0.79993,0.79464
184,0.79993,0.79463
185,0.79989,0.7946
186,0.79989,0.7946
187,0.79988,0.79457
188,0.79982,0.79456
189,0.79982,0.79456
190,0.79981,0.79453
191,0.79974,0.79452
192,0.79973,0.79452
193,0.79973,0.7945
194,0.79972,0.7945
195,0.79971,0.7945
196,0.79971,0.79449
197,0.79968,0.79447
198,0.79967,0.79446
199,0.79965,0.79443
200,0.79964,0.79442
201,0.79964,0.79442
202,0.79964,0.79441
203,0.79964,0.7944
204,0.79963,0.7944
205,0.79963,0.79439
206,0.79962,0.79435
207,0.7996,0.79435
208,0.7996,0.79434
209,0.79959,0.79432
210,0.79957,0.79427
211,0.79956,0.79425
212,0.79953,0.79425
213,0.79953,0.79423
214,0.79953,0.79422
215,0.79949,0.79417
216,0.79946,0.79413
217,0.79945,0.79411
218,0.79939,0.79409
219,0.79938,0.79409
220,0.79938,0.79406
221,0.79937,0.79406
222,0.79937,0.79405
223,0.79932,0.79402
224,0.79932,0.79399
225,0.79932,0.79398
226,0.79928,0.79397
227,0.79926,0.79394
228,0.79925,0.79393
229,0.79922,0.79391
230,0.79921,0.79388
231,0.79921,0.79384
232,0.79921,0.79382
233,0.79918,0.79381
234,0.79918,0.79378
235,0.79915,0.79375
236,0.79908,0.79375
237,0.79908,0.79373
238,0.79908,0.79367
239,0.79907,0.79367
240,0.79906,0.79366
241,0.79904,0.79361
242,0.79898,0.79361
243,0.79897,0.79359
244,0.79895,0.79359
245,0.79891,0.79354
246,0.79891,0.79347
247,0.79889,0.79347
248,0.79888,0.79347
249,0.79887,0.7934
250,0.79886,0.79338
251,0.79881,0.79337
252,0.7988,0.79337
253,0.79879,0.79337
254,0.79877,0.79337
255,0.79873,0.79333
256,0.79868,0.79333
257,0.79868,0.79328
258,0.79867,0.79325
259,0.79866,0.79324
260,0.79864,0.7932
261,0.79863,0.79318
262,0.79861,0.79317
263,0.79857,0.79317
264,0.79856,0.79314
265,0.79854,0.79314
266,0.79853,0.79312
267,0.79852,0.79311
268,0.79852,0.7931
269,0.79848,0.79309
270,0.79847,0.79307
271,0.79845,0.79306
272,0.79844,0.79305
273,0.79843,0.79305
274,0.79841,0.79304
275,0.79832,0.79303
276,0.79832,0.79302
277,0.79829,0.793
278,0.79827,0.79299
279,0.79827,0.79292
280,0.79817,0.79286
281,0.79815,0.79285
282,0.79814,0.79285
283,0.79813,0.79279
284,0.79812,0.79278
285,0.79806,0.79276
286,0.79805,0.79273
287,0.79804,0.79271
288,0.79803,0.79271
289,0.79801,0.79266
290,0.798,0.79265
291,0.79788,0.79265
292,0.79788,0.7926
293,0.79787,0.7926
294,0.79781,0.79259
295,0.7978,0.79259
296,0.79779,0.79258
297,0.79778,0.79258
298,0.79778,0.79257
299,0.79778,0.79254
300,0.79777,0.79251
301,0.79776,0.7925
302,0.79774,0.79248
303,0.79774,0.7924
304,0.79767,0.79239
305,0.79766,0.79239
306,0.79764,0.7923
307,0.79764,0.79225
308,0.79761,0.79222
309,0.7976,0.79221
310,0.7976,0.7922
311,0.7976,0.79218
312,0.79759,0.79213
313,0.79759,0.79212
314,0.79759,0.79212
315,0.79758,0.79209
316,0.79757,0.79208
317,0.79755,0.79205
318,0.79752,0.79204
319,0.7975,0.79203
320,0.79746,0.79202
321,0.79746,0.79202
322,0.79744,0.79201
323,0.79742,0.79199
324,0.79735,0.79196
325,0.79733,0.79196
326,0.79731,0.79193
327,0.79728,0.79192
328,0.79727,0.7919
329,0.79723,0.79185
330,0.79723,0.79184
331,0.79716,0.79181
332,0.79716,0.79181
333,0.79712,0.79179
334,0.79712,0.79173
335,0.79712,0.79171
336,0.79712,0.79167
337,0.79708,0.79166
338,0.79706,0.79166
339,0.79705,0.7916
340,0.79702,0.79159
341,0.79702,0.79155
342,0.79701,0.79154
343,0.797,0.79152
344,0.79699,0.79147
345,0.79699,0.79144
346,0.79693,0.79144
347,0.79693,0.79143
348,0.79692,0.7914
349,0.79689,0.79138
350,0.79687,0.79137
351,0.79685,0.79134
352,0.79683,0.79134
353,0.79683,0.79133
354,0.79682,0.79133
355,0.79677,0.79132
356,0.79676,0.7913
357,0.79675,0.79127
358,0.79668,0.79125
359,0.79666,0.79124
360,0.79666,0.79121
361,0.79666,0.7912
362,0.79662,0.79115
363,0.79661,0.79113
364,0.79661,0.79111
365,0.79656,0.79111
366,0.79652,0.79109
367,0.79649,0.79108
368,0.79648,0.79107
369,0.79647,0.79098
370,0.79645,0.79092
371,0.79645,0.7909
372,0.79644,0.79087
373,0.79642,0.79082
374,0.7964,0.7908
375,0.79634,0.79079
376,0.79634,0.79078
377,0.79632,0.79078
378,0.7963,0.79076
379,0.79628,0.79074
380,0.79623,0.79071
381,0.79618,0.79069
382,0.79616,0.79068
383,0.79613,0.79063
384,0.79613,0.79061
385,0.79611,0.79059
386,0.79609,0.79057
387,0.79602,0.79055
388,0.79598,0.79052
389,0.79595,0.79052
390,0.79595,0.79048
391,0.79592,0.79047
392,0.7959,0.79039
393,0.79589,0.79036
394,0.79588,0.79032
395,0.79585,0.79028
396,0.79582,0.79025
397,0.79579,0.79024
398,0.79575,0.79022
399,0.79571,0.7902
400,0.7957,0.79018
401,0.79569,0.79017
402,0.79563,0.79012
403,0.79562,0.79008
404,0.79562,0.79003
405,0.79561,0.79002
406,0.79558,0.79
407,0.79551,0.78998
408,0.7955,0.78997
409,0.79545,0.78996
410,0.7954,0.78995
411,0.79539,0.78989
412,0.79536,0.78986
413,0.79531,0.7898
414,0.79529,0.78979
415,0.79529,0.78973
416,0.79526,0.7897
417,0.79523,0.78967
418,0.7952,0.78959
419,0.79517,0.78957
420,0.79514,0.78954
421,0.79513,0.78951
422,0.79512,0.7895
423,0.79512,0.78943
424,0.79511,0.7894
425,0.79508,0.7894
426,0.79507,0.78937
427,0.79504,0.78936
428,0.79498,0.78935
429,0.79498,0.78935
430,0.79497,0.78929
431,0.79494,0.78927
432,0.79492,0.78927
433,0.7949,0.78927
434,0.79489,0.78925
435,0.79487,0.78923
436,0.79487,0.78922
437,0.79487,0.78922
438,0.79487,0.78922
439,0.79486,0.7892
440,0.7948,0.78916
441,0.79477,0.78914
442,0.79477,0.78913
443,0.79475,0.78912
444,0.79475,0.78912
445,0.79474,0.78909
446,0.79473,0.78909
447,0.79472,0.78908
448,0.79469,0.78906
449,0.79468,0.78906
450,0.79461,0.78906
451,0.79458,0.78904
452,0.79456,0.78902
453,0.79456,0.78902
454,0.79453,0.78899
455,0.79449,0.78897
456,0.79442,0.78894
457,0.79441,0.78894
458,0.79433,0.78894
459,0.79431,0.78886
460,0.79431,0.78883
461,0.79427,0.78882
462,0.79422,0.78881
463,0.79418,0.78881
464,0.79418,0.78878
465,0.79418,0.78873
466,0.79417,0.7887
467,0.79416,0.78869
468,0.79414,0.78868
469,0.79414,0.78864
470,0.7941,0.78863
471,0.79409,0.78862
472,0.79409,0.78859
473,0.79408,0.78859
474,0.79408,0.78858
475,0.79407,0.7885
476,0.79406,0.78847
477,0.79405,0.78846
478,0.79399,0.78844
479,0.79395,0.7884
480,0.79394,0.78838
481,0.79386,0.78834
482,0.79385,0.78834
483,0.79383,0.78827
484,0.79378,0.78826
485,0.79375,0.78826
486,0.79375,0.78824
487,0.79374,0.78821
488,0.79372,0.78818
489,0.79372,0.78813
490,0.79365,0.78811
491,0.79365,0.7881
492,0.7936,0.78807
493,0.79359,0.78793
494,0.79353,0.78791
495,0.79351,0.7879
496,0.79351,0.78786
497,0.7935,0.78786
498,0.79346,0.78785
499,0.79345,0.78784
500,0.79343,0.78781
501,0.79343,0.78775
502,0.79343,0.7877
503,0.79342,0.78769
504,0.79334,0.78768
505,0.79334,0.78767
506,0.7933,0.78766
507,0.79327,0.78763
508,0.79327,0.78759
509,0.79327,0.78756
510,0.79326,0.78748
511,0.79323,0.78746
512,0.79316,0.78738
513,0.7931,0.78731
514,0.7931,0.78729
515,0.79299,0.78728
516,0.7929,0.78727
517,0.79289,0.78726
518,0.79287,0.78725
519,0.79284,0.78721
520,0.79284,0.7872
521,0.79282,0.78718
522,0.7928,0.78714
523,0.79279,0.78712
524,0.79275,0.78704
525,0.7927,0.78704
