Rank,PublicScore,PrivateScore
1,2.12844,2.13153
2,2.13429,2.14222
3,2.14222,2.14949
4,2.14291,2.15036
5,2.14501,2.15165
6,2.14664,2.15251
7,2.15074,2.15621
8,2.15127,2.15637
9,2.15223,2.15745
10,2.15411,2.15896
11,2.15928,2.16465
12,2.15992,2.16634
13,2.16012,2.16837
14,2.1624,2.16856
15,2.16496,2.16984
16,2.16607,2.17228
17,2.16691,2.174
18,2.16886,2.17488
19,2.16961,2.17696
20,2.17098,2.1773
21,2.17103,2.17786
22,2.17128,2.17889
23,2.17489,2.18122
24,2.1753,2.18132
25,2.17597,2.1819
26,2.17693,2.18386
27,2.17816,2.18411
28,2.17911,2.18586
29,2.18108,2.18593
30,2.18109,2.18615
31,2.18158,2.18841
32,2.18211,2.18859
33,2.18322,2.1892
34,2.18576,2.18996
35,2.18771,2.19059
36,2.18813,2.19335
37,2.18929,2.19339
38,2.1896,2.19512
39,2.19197,2.19524
40,2.19208,2.1963
41,2.19278,2.19715
42,2.19297,2.19783
43,2.19388,2.19799
44,2.19392,2.19856
45,2.19431,2.19968
46,2.19437,2.20018
47,2.19464,2.20136
48,2.19634,2.20176
49,2.19649,2.20188
50,2.19924,2.20194
51,2.20062,2.20431
52,2.20138,2.20559
53,2.20161,2.20862
54,2.20353,2.2092
55,2.20451,2.20929
56,2.20471,2.20942
57,2.20521,2.20982
58,2.20582,2.20988
59,2.20597,2.20997
60,2.20601,2.21002
61,2.20697,2.21062
62,2.20702,2.21077
63,2.20724,2.21092
64,2.20735,2.21117
65,2.20796,2.21172
66,2.20818,2.21173
67,2.20838,2.21394
68,2.20863,2.21469
69,2.20888,2.21481
70,2.2091,2.21493
71,2.20957,2.21553
72,2.20985,2.21562
73,2.21091,2.21587
74,2.21119,2.2161
75,2.21141,2.21679
76,2.21142,2.2168
77,2.2117,2.21684
78,2.21281,2.21741
79,2.21322,2.21742
80,2.21438,2.21756
81,2.21442,2.21769
82,2.21454,2.21782
83,2.21455,2.21852
84,2.21709,2.21856
85,2.21755,2.21995
86,2.21804,2.22067
87,2.21852,2.22144
88,2.21867,2.22235
89,2.21918,2.22245
90,2.2193,2.22318
91,2.21945,2.22342
92,2.21946,2.22344
93,2.22087,2.22345
94,2.22137,2.22357
95,2.22177,2.225
96,2.2221,2.22553
97,2.22217,2.22592
98,2.22272,2.22637
99,2.22341,2.2264
100,2.22378,2.22707
101,2.22392,2.22814
102,2.22459,2.22885
103,2.22522,2.22904
104,2.22559,2.22943
105,2.22616,2.22944
106,2.22652,2.2301
107,2.22657,2.23018
108,2.22739,2.23049
109,2.22754,2.23085
110,2.22756,2.23238
111,2.22827,2.23255
112,2.2289,2.23263
113,2.22894,2.23321
114,2.22914,2.23337
115,2.22944,2.23358
116,2.22953,2.23368
117,2.22974,2.23384
118,2.22975,2.23385
119,2.22986,2.23406
120,2.23015,2.23416
121,2.23027,2.23422
122,2.23041,2.23429
123,2.23056,2.23433
124,2.23067,2.23439
125,2.23075,2.23496
126,2.23115,2.2352
127,2.23115,2.23522
128,2.23118,2.23544
129,2.23124,2.23595
130,2.23134,2.23607
131,2.23166,2.23612
132,2.23171,2.23615
133,2.23193,2.23635
134,2.23208,2.23644
135,2.23217,2.23645
136,2.23217,2.23645
137,2.23262,2.23647
138,2.23287,2.23654
139,2.23288,2.23661
140,2.23297,2.23688
141,2.23302,2.23701
142,2.23323,2.23737
143,2.23325,2.23741
