Rank,PublicScore,PrivateScore
1,0.4786,0.47549
2,0.4807,0.47968
3,0.48566,0.4833
4,0.49696,0.49122
5,0.49881,0.49503
6,0.49927,0.497
7,0.50063,0.5001
8,0.50674,0.50289
9,0.51316,0.51358
10,0.51556,0.51507
11,0.51687,0.51567
12,0.51978,0.51785
13,0.52221,0.51899
14,0.52242,0.51976
15,0.52831,0.52625
16,0.52876,0.52847
17,0.5321,0.52908
18,0.53326,0.52911
19,0.53333,0.52939
20,0.53512,0.53282
21,0.53698,0.53367
22,0.53765,0.53395
23,0.53974,0.53522
24,0.54216,0.54032
25,0.54477,0.54241
26,0.54553,0.54498
27,0.54795,0.54591
28,0.55401,0.55122
29,0.55543,0.55179
30,0.55752,0.55395
31,0.5599,0.55423
32,0.56079,0.55723
33,0.56198,0.55725
34,0.56215,0.55953
35,0.56274,0.56151
36,0.56454,0.5625
37,0.56516,0.56306
38,0.56591,0.56353
39,0.56615,0.56371
40,0.56768,0.56371
41,0.56909,0.56737
42,0.57052,0.56927
43,0.5742,0.56976
44,0.57552,0.5723
45,0.57553,0.57428
46,0.57877,0.57531
47,0.57933,0.57552
48,0.57959,0.57625
49,0.58025,0.57648
50,0.58039,0.57758
51,0.58131,0.57865
52,0.58404,0.57933
53,0.58689,0.58138
54,0.58757,0.58369
55,0.58803,0.58398
56,0.58838,0.58468
57,0.58942,0.587
58,0.59146,0.58799
59,0.59436,0.58833
60,0.59567,0.58871
61,0.596,0.59039
62,0.5964,0.59167
63,0.59648,0.59231
64,0.59866,0.59286
65,0.59908,0.59357
66,0.60034,0.59406
67,0.60056,0.59434
68,0.60085,0.5952
69,0.60108,0.59571
70,0.6015,0.59776
71,0.60198,0.5978
72,0.60243,0.59896
73,0.60254,0.59961
74,0.60259,0.59968
75,0.60438,0.60078
76,0.6044,0.60098
77,0.60527,0.60127
78,0.6059,0.60222
79,0.60678,0.60227
80,0.60837,0.60268
81,0.60851,0.60283
82,0.60878,0.60373
83,0.60941,0.60555
84,0.61147,0.60562
85,0.61199,0.6058
86,0.61204,0.60618
87,0.61261,0.60659
88,0.6131,0.60785
89,0.6139,0.60862
90,0.6151,0.60876
91,0.61541,0.60901
92,0.61543,0.60964
93,0.61545,0.61057
94,0.61816,0.61069
95,0.61859,0.61118
96,0.61871,0.61256
97,0.61893,0.614
98,0.61894,0.61417
99,0.61988,0.6146
100,0.62055,0.6161
101,0.62119,0.61659
102,0.622,0.6167
103,0.62214,0.61786
104,0.62219,0.61826
105,0.62255,0.6186
106,0.62379,0.6189
107,0.62388,0.61986
108,0.62435,0.62007
109,0.62462,0.62012
110,0.6247,0.62047
111,0.62485,0.62107
112,0.6251,0.62111
113,0.62543,0.62133
114,0.62569,0.62141
115,0.62625,0.62147
116,0.62638,0.62177
117,0.62917,0.62189
118,0.63017,0.62204
119,0.63062,0.62373
120,0.63071,0.62424
121,0.63181,0.62434
122,0.63202,0.62437
123,0.63225,0.62438
124,0.63393,0.62443
125,0.6352,0.6246
126,0.63563,0.62483
127,0.63565,0.62516
128,0.6361,0.62616
129,0.63692,0.62789
130,0.63726,0.6285
131,0.63835,0.62964
132,0.63855,0.63038
133,0.63857,0.63091
134,0.63889,0.63099
135,0.63898,0.63128
136,0.63961,0.6313
137,0.63967,0.63198
138,0.64,0.63297
139,0.64005,0.63317
140,0.64018,0.63341
141,0.64034,0.63342
142,0.64043,0.63381
143,0.64066,0.63448
144,0.64071,0.63464
145,0.6409,0.6357
146,0.64097,0.63647
147,0.64146,0.63662
148,0.64342,0.63688
149,0.64362,0.63689
150,0.64393,0.63886
151,0.64553,0.63886
152,0.64591,0.63939
153,0.64727,0.64003
154,0.64736,0.64007
155,0.64843,0.64074
156,0.64843,0.64139
157,0.64848,0.64161
158,0.65185,0.64188
159,0.65193,0.64202
160,0.65262,0.64305
161,0.65277,0.64574
162,0.65315,0.647
163,0.65351,0.64777
164,0.65442,0.64877
165,0.65457,0.64885
166,0.65464,0.64893
167,0.65529,0.64957
168,0.65589,0.65017
169,0.65614,0.65172
170,0.65635,0.65198
171,0.65815,0.65204
172,0.65892,0.65335
173,0.6591,0.65397
174,0.65912,0.6545
175,0.65924,0.65492
176,0.65942,0.65719
177,0.66118,0.6572
178,0.66359,0.65731
179,0.664,0.65791
180,0.66419,0.65825
181,0.66419,0.66031
182,0.66449,0.66057
183,0.66551,0.66115
184,0.66604,0.6612
185,0.66728,0.66356
186,0.6682,0.66438
187,0.67004,0.66452
188,0.67135,0.66546
189,0.67157,0.66556
190,0.67178,0.66589
191,0.67217,0.6662
192,0.67355,0.66634
193,0.67366,0.66693
194,0.67486,0.66746
195,0.67577,0.66752
196,0.67587,0.66813
197,0.67702,0.66855
198,0.67717,0.66879
199,0.67743,0.66992
200,0.67892,0.67031
201,0.67987,0.67073
202,0.68016,0.67107
203,0.6812,0.67116
204,0.68305,0.67148
205,0.68331,0.6724
206,0.68416,0.67336
207,0.68475,0.67608
208,0.68503,0.67618
209,0.6857,0.67752
210,0.686,0.67884
211,0.68757,0.67968
212,0.68761,0.68018
213,0.68851,0.68024
214,0.68879,0.68029
215,0.68886,0.68077
216,0.68914,0.68114
217,0.68924,0.68173
218,0.68936,0.68183
219,0.69072,0.68203
220,0.69088,0.6821
221,0.6911,0.68221
222,0.69147,0.68481
223,0.69276,0.6849
224,0.69285,0.68516
225,0.69397,0.68581
226,0.6966,0.68664
227,0.69721,0.68846
228,0.69816,0.68855
229,0.69878,0.68898
230,0.69882,0.69115
231,0.70096,0.69239
232,0.70182,0.69272
233,0.70341,0.69277
234,0.70471,0.6939
235,0.70508,0.69424
236,0.70622,0.69768
237,0.70644,0.69827
238,0.70671,0.70132
239,0.70792,0.70153
240,0.71163,0.70206
241,0.71271,0.70269
242,0.7142,0.70304
243,0.71529,0.70438
244,0.71639,0.70496
245,0.71691,0.70549
246,0.71718,0.70713
