Rank,PublicScore,PrivateScore
1,0.06318,0.07408
2,0.06333,0.07421
3,0.06335,0.07429
4,0.06359,0.07436
5,0.06362,0.07442
6,0.06366,0.07451
7,0.06378,0.07456
8,0.06378,0.07457
9,0.06383,0.07457
10,0.06384,0.07458
11,0.06387,0.07459
12,0.06388,0.07472
13,0.0639,0.07474
14,0.06393,0.07477
15,0.06394,0.07478
16,0.06394,0.07479
17,0.06394,0.07479
18,0.06397,0.0748
19,0.06398,0.07481
20,0.06398,0.07481
21,0.064,0.07481
22,0.064,0.07481
23,0.064,0.07481
24,0.064,0.07483
25,0.064,0.07483
26,0.06401,0.07484
27,0.06401,0.07484
28,0.06401,0.07484
29,0.06401,0.07485
30,0.06402,0.07486
31,0.06402,0.07486
32,0.06402,0.07487
33,0.06402,0.07487
34,0.06403,0.07488
35,0.06403,0.07488
36,0.06403,0.07489
37,0.06403,0.07489
38,0.06403,0.07489
39,0.06404,0.07489
40,0.06404,0.0749
41,0.06404,0.0749
42,0.06404,0.0749
43,0.06404,0.0749
44,0.06405,0.07491
45,0.06405,0.07491
46,0.06405,0.07492
47,0.06405,0.07492
48,0.06405,0.07492
49,0.06406,0.07492
50,0.06406,0.07493
51,0.06406,0.07494
52,0.06406,0.07494
53,0.06406,0.07495
54,0.06406,0.07495
55,0.06406,0.07495
56,0.06406,0.07495
57,0.06406,0.07495
58,0.06407,0.07496
59,0.06407,0.07496
60,0.06407,0.07496
61,0.06407,0.07497
62,0.06407,0.07497
63,0.06407,0.07497
64,0.06407,0.07498
65,0.06407,0.07498
66,0.06407,0.07498
67,0.06407,0.07498
68,0.06407,0.07498
69,0.06407,0.07498
70,0.06408,0.07499
71,0.06408,0.07499
72,0.06408,0.07499
73,0.06408,0.07499
74,0.06408,0.07499
75,0.06408,0.07499
76,0.06408,0.07499
77,0.06408,0.07499
78,0.06408,0.07499
79,0.06409,0.075
80,0.06409,0.075
81,0.06409,0.075
82,0.06409,0.075
83,0.06409,0.07501
84,0.06409,0.07501
